regime,count,mean,std,min,25%,50%,75%,max
EXPANSION,17.0,8.0,3.1622776601683795,4.0,4.0,8.0,12.0,12.0
PULLBACK,517.0,7.0019342359767895,3.033724546423701,4.0,4.0,8.0,8.0,12.0
