observed,ci_lo,ci_hi,p_positive,n_a,n_b,weeks,horizon_h,metric
0.06385169701143696,0.03174507284787343,0.099347755991066,1.0,764,4538,208,4,breakout_1atr_4h
0.0683678636670686,0.018997332806244386,0.1167663173980799,0.9964,708,4205,208,12,breakout_1atr_12h
