gate,eligible,transfer,passed,observed,ci_lo,ci_hi,p_positive,n_a,n_b,weeks,metric
R_H1,True,True,False,0.029188367377704902,-0.05755058135005939,0.11854053688806497,0.7438,144,4126,210.0,
R_H2,True,,True,,,,,144,4126,,
C_H1,False,True,False,0.09697191589286497,0.05162455244463623,0.14311000781780286,1.0,742,4366,208.0,breakout_1atr_8h
C_H2,False,True,False,0.2555919493612955,0.07130419390079225,0.45457883269151056,0.9978,605,3732,208.0,range_atr_24h
