year,metric,n_a,n_b,effect,eligible,positive,strata_json
2023,momentum_flip_24h,36,1021,0.00035309454323538027,True,True,"[{""state"": ""PULLBACK"", ""n_a"": 15, ""n_b"": 740, ""effect"": -0.018468468468468446}, {""state"": ""EXPANSION"", ""n_a"": 15, ""n_b"": 210, ""effect"": 0.10476190476190472}, {""state"": ""RANGE"", ""n_a"": 6, ""n_b"": 71, ""effect"": -0.2136150234741784}]"
2024,momentum_flip_24h,31,1030,-0.0027962588646407716,True,False,"[{""state"": ""PULLBACK"", ""n_a"": 8, ""n_b"": 578, ""effect"": -0.02076124567474047}, {""state"": ""EXPANSION"", ""n_a"": 20, ""n_b"": 250, ""effect"": 0.026000000000000023}, {""state"": ""RANGE"", ""n_a"": 3, ""n_b"": 202, ""effect"": -0.14686468646864687}]"
2025,momentum_flip_24h,33,1031,0.02184930955396274,True,True,"[{""state"": ""PULLBACK"", ""n_a"": 6, ""n_b"": 633, ""effect"": 0.0007898894154818592}, {""state"": ""EXPANSION"", ""n_a"": 26, ""n_b"": 288, ""effect"": 0.010416666666666685}, {""state"": ""RANGE"", ""n_a"": 1, ""n_b"": 110, ""effect"": 0.44545454545454544}]"
2026,momentum_flip_24h,24,571,0.1886647361647361,True,True,"[{""state"": ""PULLBACK"", ""n_a"": 11, ""n_b"": 370, ""effect"": 0.03734643734643728}, {""state"": ""EXPANSION"", ""n_a"": 9, ""n_b"": 126, ""effect"": 0.26190476190476186}, {""state"": ""RANGE"", ""n_a"": 4, ""n_b"": 75, ""effect"": 0.43999999999999995}]"
