competition_class,regime,events,raw_lead_mean,sm_lead_mean
ADMITTED_REVERSAL,REVERSAL,4,0.0,0.0
HYSTERESIS_SUPPRESSED,EXPANSION,10,27.0,6.833333333333333
HYSTERESIS_SUPPRESSED,RANGE,2,32.5,11.666666666666664
SMOOTHING_SUPPRESSED,EXPANSION,100,14.4,-27.383333333333336
SMOOTHING_SUPPRESSED,PULLBACK,70,9.857142857142858,-21.404761904761905
SMOOTHING_SUPPRESSED,RANGE,18,15.277777777777779,-22.22222222222222
