year,competition_class,events
2022,HYSTERESIS_SUPPRESSED,1
2022,SMOOTHING_SUPPRESSED,27
2023,ADMITTED_REVERSAL,3
2023,HYSTERESIS_SUPPRESSED,4
2023,SMOOTHING_SUPPRESSED,46
2024,HYSTERESIS_SUPPRESSED,1
2024,SMOOTHING_SUPPRESSED,41
2025,HYSTERESIS_SUPPRESSED,2
2025,SMOOTHING_SUPPRESSED,47
2026,ADMITTED_REVERSAL,1
2026,HYSTERESIS_SUPPRESSED,4
2026,SMOOTHING_SUPPRESSED,27
