slice,state,original_n,trade_n,trade_ev,pf,cum_r,ev_per_original,max_dd_r
2021,ALL,82,62,0.2379115449934876,1.5563696503464541,14.750515789596232,0.179884338897515,5.990793060745969
2021,HIGH_ATR,82,33,0.4639884985244821,2.3740769643328745,15.31162045130791,0.1867270786744867,2.291181291423137
2021,LOW_ATR,82,29,-0.019348436610747602,0.9634908412242882,-0.5611046617116805,-0.006842739776971713,8.830659655060089
2022,ALL,79,49,-0.04007915800385439,0.9296201816712012,-1.9638787421888653,-0.02485922458466918,9.91142306964468
2022,HIGH_ATR,79,17,-0.22794610124906303,0.6370826968004137,-3.8750837212340716,-0.049051692673849005,5.520584859465337
2022,LOW_ATR,79,32,0.059725155595162685,1.1109462154015928,1.911204979045206,0.02419246808917982,6.646000543285082
2023,ALL,83,52,-0.006006895175518967,0.9880787377645762,-0.3123585491269863,-0.003763356013578148,4.727398123011239
2023,HIGH_ATR,83,35,-0.09229358518459005,0.819977689189658,-3.2302754814606516,-0.0389189817043452,6.785252695465623
2023,LOW_ATR,83,17,0.17164217249021577,1.3533420855373581,2.917916932333668,0.035155625690767085,2.2577913412621875
2024,ALL,94,64,0.08421963210031048,1.177478845436824,5.390056454419871,0.057341026110849694,7.752577439801061
2024,HIGH_ATR,94,48,-0.010592569130544136,0.9784586517499703,-0.5084433182661185,-0.005408971470916154,7.888102336121845
2024,LOW_ATR,94,16,0.36865623579287427,1.8716563702035607,5.898499772685988,0.06274999758176583,2.447757900658881
2025_H1,ALL,46,32,-0.11448512025517453,0.7945679191825918,-3.663523848165585,-0.07964182278620836,8.720811531898116
2025_H1,HIGH_ATR,46,15,-0.22376537045644385,0.6126606141783142,-3.3564805568466576,-0.07296696862710125,7.168129489950264
2025_H1,LOW_ATR,46,17,-0.018061370077583926,0.966508449178815,-0.3070432913189267,-0.0066748541591071025,5.159989506559847
2025_H2,ALL,44,33,0.11684239681877,1.2479041244479507,3.85579909501941,0.0876317976140775,3.1190448475881447
2025_H2,HIGH_ATR,44,22,0.2937085977057459,1.7381960428278542,6.46158914952641,0.14685429885287296,2.165778107280774
2025_H2,LOW_ATR,44,11,-0.23689000495518178,0.6168166718053347,-2.6057900545069996,-0.059222501238795446,5.506880943104348
2026_JAN_JUL,ALL,47,35,0.29031226066630084,1.631236981277441,10.160929123320528,0.2161899813472453,2.693946198337092
2026_JAN_JUL,HIGH_ATR,47,17,0.4386801857725658,2.1598907464089594,7.457563158133619,0.15867155655603443,2.545445280402805
2026_JAN_JUL,LOW_ATR,47,18,0.1501869980659395,1.2796398206571946,2.7033659651869106,0.057518424791210866,2.1627866967728377
POOLED_RECENT,ALL,91,68,0.20612835615205802,1.4428604075843896,14.016728218339946,0.15402998042131807,3.1190448475881447
POOLED_RECENT,HIGH_ATR,91,39,0.356901341222052,1.916773822932124,13.91915230766003,0.15295771766659372,2.545445280402806
POOLED_RECENT,LOW_ATR,91,29,0.003364686575169322,1.0059252949588657,0.09757591067991034,0.0010722627547242894,6.558944106930232
AUG_REUSED,ALL,0,0,,,0.0,,
AUG_REUSED,HIGH_ATR,0,0,,,0.0,,
AUG_REUSED,LOW_ATR,0,0,,,0.0,,
