period,cost_model,method,signals,fills,fill_rate,N,WR,EV_R,PF,SumR,MaxDD_R,R_DD,TP_rate,SL_rate,TIME_rate,mean_entry_improve_atr
forward_2026,GETLEVERAGED,CONFIRM_MARKET,544,544,1.0,544,0.3492647058823529,-0.01709826203561741,0.9731685466457054,-9.301454547375872,46.33277041414432,-0.200753256587833,0.2922794117647059,0.625,0.08272058823529412,0.0
forward_2026,GETLEVERAGED,MARKET_SIGNAL,544,544,1.0,544,0.4742647058823529,0.3219007406607517,1.6444264669727153,175.11400291944892,14.614215519389859,11.982442895214666,0.3805147058823529,0.48161764705882354,0.13786764705882354,0.5709870921894241
forward_2026,GETLEVERAGED,RETRACE_LIMIT_10,544,333,0.6121323529411765,333,0.3003003003003003,-0.17492770181985884,0.7441562015267151,-58.250924706012995,60.99339351608302,-0.9550366252478332,0.23423423423423423,0.6726726726726727,0.09309309309309309,0.2622764545942474
forward_2026,GETLEVERAGED,RETRACE_LIMIT_15,544,386,0.7095588235294118,386,0.3160621761658031,-0.127850275983856,0.8094504480695711,-49.35020652976842,63.91338064859911,-0.7721420151611103,0.25129533678756477,0.6606217616580311,0.08808290155440414,0.2677530777984851
forward_2026,GETLEVERAGED,RETRACE_LIMIT_5,544,253,0.4650735294117647,253,0.3201581027667984,-0.12272581605451373,0.8137526473381701,-31.04963146179197,39.054413836264295,-0.7950351423008833,0.2490118577075099,0.6482213438735178,0.10276679841897234,0.2636336494396417
forward_2026,GROSS,CONFIRM_MARKET,544,544,1.0,544,0.3713235294117647,0.04440453600888844,1.0732184308039199,24.156067588835313,29.214495130807542,0.8268521321582597,0.30330882352941174,0.6011029411764706,0.09558823529411764,0.0
forward_2026,GROSS,MARKET_SIGNAL,544,544,1.0,544,0.4963235294117647,0.38521851470464535,1.8241362342772407,209.55887199932707,10.810174765980577,19.38533617965225,0.39338235294117646,0.4522058823529412,0.15441176470588236,0.5709870921894241
forward_2026,GROSS,RETRACE_LIMIT_10,544,333,0.6121323529411765,333,0.33933933933933935,-0.06828843604002702,0.8918543668813191,-22.740049201328997,40.92653919158671,-0.555630885252171,0.2552552552552553,0.6216216216216216,0.12312312312312312,0.2622764545942474
forward_2026,GROSS,RETRACE_LIMIT_15,544,386,0.7095588235294118,386,0.35233160621761656,-0.026889623332692847,0.9568015649732491,-10.379394606419439,42.77952740957676,-0.242625275100535,0.27202072538860106,0.6139896373056994,0.11398963730569948,0.2677530777984851
forward_2026,GROSS,RETRACE_LIMIT_5,544,253,0.4650735294117647,253,0.35968379446640314,-0.015216454500277464,0.9750131561295631,-3.8497629885701983,28.59586054479616,-0.13462658284192722,0.2727272727272727,0.6007905138339921,0.12648221343873517,0.2636336494396417
