period,year,event_id,signal_ts,confirm_ts,side,method,cost_model,filled,R,reason,entry_improve_atr,entry_fill,exit_fill,exit_ts
historical,2021,0,1609480800,1609482600,-1,MARKET_SIGNAL,GROSS,True,1.9999999999999984,TP,0.7234683425154227,29213.8,28826.789285714287,1609485000.0
historical,2021,0,1609480800,1609482600,-1,MARKET_SIGNAL,IC,True,1.9999999999999984,TP,0.7234683425154227,29212.92741885056,28825.916704564846,1609485000.0
historical,2021,0,1609480800,1609482600,-1,MARKET_SIGNAL,GETLEVERAGED,True,-1.004431454919987,SL,0.7234683425154227,29209.938214631788,29404.3010820416,1609500120.0
historical,2021,0,1609480800,1609482600,-1,CONFIRM_MARKET,GROSS,True,-1.0000000000000087,SL,0.0,29120.5,29314.005357142858,1609493820.0
historical,2021,0,1609480800,1609482600,-1,CONFIRM_MARKET,IC,True,-1.0103653982734175,SL,0.0,29119.6302056096,29315.14132284728,1609493820.0
historical,2021,0,1609480800,1609482600,-1,CONFIRM_MARKET,GETLEVERAGED,True,-1.0044173953392286,SL,0.0,29116.650548000776,29311.01069480639,1609493820.0
historical,2021,0,1609480800,1609482600,-1,RETRACE_LIMIT_5,GROSS,True,-1.0000000000000087,SL,0.36173417125772545,29167.135000000002,29360.64035714286,1609496220.0
historical,2021,0,1609480800,1609482600,-1,RETRACE_LIMIT_5,IC,True,-1.0103818883520377,SL,0.36173417125772545,29166.263812678113,29361.778120834348,1609495800.0
historical,2021,0,1609480800,1609482600,-1,RETRACE_LIMIT_5,GETLEVERAGED,True,-1.0044244228692258,SL,0.36173417125772545,29163.27938329914,29357.640889969458,1609495800.0
historical,2021,0,1609480800,1609482600,-1,RETRACE_LIMIT_10,GROSS,True,-1.0000000000000087,SL,0.36173417125772545,29167.135000000002,29360.64035714286,1609496220.0
historical,2021,0,1609480800,1609482600,-1,RETRACE_LIMIT_10,IC,True,-1.0103818883520377,SL,0.36173417125772545,29166.263812678113,29361.778120834348,1609495800.0
historical,2021,0,1609480800,1609482600,-1,RETRACE_LIMIT_10,GETLEVERAGED,True,-1.0044244228692258,SL,0.36173417125772545,29163.27938329914,29357.640889969458,1609495800.0
historical,2021,0,1609480800,1609482600,-1,RETRACE_LIMIT_15,GROSS,True,-1.0000000000000087,SL,0.36173417125772545,29167.135000000002,29360.64035714286,1609496220.0
