period,cost_model,method,missed_N,missed_control_sum_R,missed_control_EV_R
historical,GROSS,RETRACE_LIMIT_5,2700,683.8262917850295,0.25326899695741834
historical,GROSS,RETRACE_LIMIT_10,2044,752.2684207178148,0.3680373878267196
historical,GROSS,RETRACE_LIMIT_15,1683,805.4845486221163,0.4786004448140917
historical,IC,RETRACE_LIMIT_5,2700,609.2945892325251,0.22566466267871302
historical,IC,RETRACE_LIMIT_10,2044,688.514350740705,0.3368465512430064
historical,IC,RETRACE_LIMIT_15,1683,750.4550705672921,0.4459031910679097
historical,GETLEVERAGED,RETRACE_LIMIT_5,2700,451.63262119505407,0.16727134118335335
historical,GETLEVERAGED,RETRACE_LIMIT_10,2044,579.627535845176,0.283575115384137
historical,GETLEVERAGED,RETRACE_LIMIT_15,1683,666.2543833277202,0.3958730738726799
forward_2026,GROSS,RETRACE_LIMIT_5,291,65.46745979356233,0.22497408863767124
forward_2026,GROSS,RETRACE_LIMIT_10,211,94.02292503525528,0.4456062797879397
forward_2026,GROSS,RETRACE_LIMIT_15,158,88.33455762386953,0.5590794786320856
forward_2026,IC,RETRACE_LIMIT_5,291,56.62270395725018,0.19457973868470851
forward_2026,IC,RETRACE_LIMIT_10,211,87.97400112906999,0.416938393976635
forward_2026,IC,RETRACE_LIMIT_15,158,83.0578486966744,0.5256825866878126
forward_2026,GETLEVERAGED,RETRACE_LIMIT_5,291,50.794820877983724,0.17455264906523615
forward_2026,GETLEVERAGED,RETRACE_LIMIT_10,211,81.56698849362759,0.38657340518306915
forward_2026,GETLEVERAGED,RETRACE_LIMIT_15,158,79.3599060858736,0.5022778866194532
