time,open_frozen,high_frozen,low_frozen,close_frozen,open_rest,high_rest,low_rest,close_rest,open_diff,high_diff,low_diff,close_diff,exact
2026-08-08 00:00:00,64885.5,64885.5,64874.0,64874.0,64885.5,64885.5,64874.0,64874.0,0.0,0.0,0.0,0.0,True
2026-08-08 00:01:00,64874.0,64874.1,64874.0,64874.1,64874.0,64874.1,64874.0,64874.1,0.0,0.0,0.0,0.0,True
2026-08-08 00:02:00,64874.0,64874.1,64874.0,64874.1,64874.0,64874.1,64874.0,64874.1,0.0,0.0,0.0,0.0,True
2026-08-08 00:03:00,64874.0,64874.1,64874.0,64874.1,64874.0,64874.1,64874.0,64874.1,0.0,0.0,0.0,0.0,True
2026-08-08 00:04:00,64874.1,64889.8,64874.0,64889.8,64874.1,64889.8,64874.0,64889.8,0.0,0.0,0.0,0.0,True
2026-08-08 00:05:00,64889.7,64899.0,64889.7,64899.0,64889.7,64899.0,64889.7,64899.0,0.0,0.0,0.0,0.0,True
2026-08-08 00:06:00,64898.9,64903.0,64898.9,64903.0,64898.9,64903.0,64898.9,64903.0,0.0,0.0,0.0,0.0,True
2026-08-08 00:07:00,64902.9,64913.9,64902.9,64913.9,64902.9,64913.9,64902.9,64913.9,0.0,0.0,0.0,0.0,True
2026-08-08 00:08:00,64913.9,64927.6,64913.8,64918.8,64913.9,64927.6,64913.8,64918.8,0.0,0.0,0.0,0.0,True
2026-08-08 00:09:00,64918.7,64918.7,64873.7,64873.7,64918.7,64918.7,64873.7,64873.7,0.0,0.0,0.0,0.0,True
2026-08-08 00:10:00,64873.8,64873.8,64868.3,64868.3,64873.8,64873.8,64868.3,64868.3,0.0,0.0,0.0,0.0,True
2026-08-08 00:11:00,64868.4,64868.4,64868.3,64868.3,64868.4,64868.4,64868.3,64868.3,0.0,0.0,0.0,0.0,True
2026-08-08 00:12:00,64868.4,64868.4,64868.3,64868.3,64868.4,64868.4,64868.3,64868.3,0.0,0.0,0.0,0.0,True
2026-08-08 00:13:00,64868.4,64871.6,64868.3,64871.5,64868.4,64871.6,64868.3,64871.5,0.0,0.0,0.0,0.0,True
2026-08-08 00:14:00,64871.6,64871.6,64868.2,64868.2,64871.6,64871.6,64868.2,64868.2,0.0,0.0,0.0,0.0,True
2026-08-08 00:15:00,64868.2,64868.3,64862.6,64862.6,64868.2,64868.3,64862.6,64862.6,0.0,0.0,0.0,0.0,True
2026-08-08 00:16:00,64862.7,64862.7,64862.6,64862.6,64862.7,64862.7,64862.6,64862.6,0.0,0.0,0.0,0.0,True
2026-08-08 00:17:00,64862.7,64862.7,64833.2,64833.3,64862.7,64862.7,64833.2,64833.3,0.0,0.0,0.0,0.0,True
2026-08-08 00:18:00,64833.2,64839.4,64833.2,64839.3,64833.2,64839.4,64833.2,64839.3,0.0,0.0,0.0,0.0,True
2026-08-08 00:19:00,64839.4,64839.4,64784.3,64800.2,64839.4,64839.4,64784.3,64800.2,0.0,0.0,0.0,0.0,True
2026-08-08 00:20:00,64800.2,64800.2,64800.1,64800.1,64800.2,64800.2,64800.1,64800.1,0.0,0.0,0.0,0.0,True
2026-08-08 00:21:00,64800.2,64810.1,64800.1,64810.1,64800.2,64810.1,64800.1,64810.1,0.0,0.0,0.0,0.0,True
2026-08-08 00:22:00,64810.1,64832.1,64810.1,64832.0,64810.1,64832.1,64810.1,64832.0,0.0,0.0,0.0,0.0,True
2026-08-08 00:23:00,64832.0,64832.1,64832.0,64832.0,64832.0,64832.1,64832.0,64832.0,0.0,0.0,0.0,0.0,True
2026-08-08 00:24:00,64832.0,64832.1,64832.0,64832.0,64832.0,64832.1,64832.0,64832.0,0.0,0.0,0.0,0.0,True
2026-08-08 00:25:00,64832.0,64832.1,64832.0,64832.1,64832.0,64832.1,64832.0,64832.1,0.0,0.0,0.0,0.0,True
2026-08-08 00:26:00,64832.1,64832.1,64832.0,64832.1,64832.1,64832.1,64832.0,64832.1,0.0,0.0,0.0,0.0,True
2026-08-08 00:27:00,64832.0,64838.9,64832.0,64838.9,64832.0,64838.9,64832.0,64838.9,0.0,0.0,0.0,0.0,True
2026-08-08 00:28:00,64838.8,64849.6,64838.8,64849.5,64838.8,64849.6,64838.8,64849.5,0.0,0.0,0.0,0.0,True
2026-08-08 00:29:00,64849.6,64850.4,64849.5,64850.4,64849.6,64850.4,64849.5,64850.4,0.0,0.0,0.0,0.0,True
2026-08-08 00:30:00,64850.4,64854.0,64850.3,64853.9,64850.4,64854.0,64850.3,64853.9,0.0,0.0,0.0,0.0,True
2026-08-08 00:31:00,64853.9,64853.9,64853.8,64853.8,64853.9,64853.9,64853.8,64853.8,0.0,0.0,0.0,0.0,True
2026-08-08 00:32:00,64853.9,64853.9,64840.9,64841.0,64853.9,64853.9,64840.9,64841.0,0.0,0.0,0.0,0.0,True
2026-08-08 00:33:00,64840.9,64853.6,64840.9,64853.6,64840.9,64853.6,64840.9,64853.6,0.0,0.0,0.0,0.0,True
2026-08-08 00:34:00,64853.6,64857.6,64853.6,64853.7,64853.6,64857.6,64853.6,64853.7,0.0,0.0,0.0,0.0,True
2026-08-08 00:35:00,64853.7,64853.7,64843.8,64843.8,64853.7,64853.7,64843.8,64843.8,0.0,0.0,0.0,0.0,True
2026-08-08 00:36:00,64843.8,64843.9,64843.8,64843.8,64843.8,64843.9,64843.8,64843.8,0.0,0.0,0.0,0.0,True
2026-08-08 00:37:00,64843.9,64843.9,64843.8,64843.8,64843.9,64843.9,64843.8,64843.8,0.0,0.0,0.0,0.0,True
2026-08-08 00:38:00,64843.9,64843.9,64843.8,64843.9,64843.9,64843.9,64843.8,64843.9,0.0,0.0,0.0,0.0,True
2026-08-08 00:39:00,64843.9,64863.0,64843.8,64863.0,64843.9,64863.0,64843.8,64863.0,0.0,0.0,0.0,0.0,True
2026-08-08 00:40:00,64862.9,64863.0,64862.9,64862.9,64862.9,64863.0,64862.9,64862.9,0.0,0.0,0.0,0.0,True
2026-08-08 00:41:00,64863.0,64863.0,64836.0,64836.1,64863.0,64863.0,64836.0,64836.1,0.0,0.0,0.0,0.0,True
2026-08-08 00:42:00,64836.1,64845.8,64836.1,64845.7,64836.1,64845.8,64836.1,64845.7,0.0,0.0,0.0,0.0,True
2026-08-08 00:43:00,64845.8,64845.8,64842.4,64842.4,64845.8,64845.8,64842.4,64842.4,0.0,0.0,0.0,0.0,True
2026-08-08 00:44:00,64842.5,64872.4,64842.4,64872.4,64842.5,64872.4,64842.4,64872.4,0.0,0.0,0.0,0.0,True
2026-08-08 00:45:00,64872.3,64873.2,64872.3,64873.2,64872.3,64873.2,64872.3,64873.2,0.0,0.0,0.0,0.0,True
2026-08-08 00:46:00,64873.2,64877.0,64873.1,64873.8,64873.2,64877.0,64873.1,64873.8,0.0,0.0,0.0,0.0,True
2026-08-08 00:47:00,64873.7,64873.8,64873.7,64873.8,64873.7,64873.8,64873.7,64873.8,0.0,0.0,0.0,0.0,True
2026-08-08 00:48:00,64873.7,64873.8,64873.7,64873.8,64873.7,64873.8,64873.7,64873.8,0.0,0.0,0.0,0.0,True
2026-08-08 00:49:00,64873.8,64873.8,64873.7,64873.8,64873.8,64873.8,64873.7,64873.8,0.0,0.0,0.0,0.0,True
2026-08-08 00:50:00,64873.7,64873.8,64873.7,64873.7,64873.7,64873.8,64873.7,64873.7,0.0,0.0,0.0,0.0,True
2026-08-08 00:51:00,64873.7,64873.8,64873.7,64873.7,64873.7,64873.8,64873.7,64873.7,0.0,0.0,0.0,0.0,True
2026-08-08 00:52:00,64873.7,64873.8,64873.7,64873.7,64873.7,64873.8,64873.7,64873.7,0.0,0.0,0.0,0.0,True
2026-08-08 00:53:00,64873.7,64873.8,64873.7,64873.7,64873.7,64873.8,64873.7,64873.7,0.0,0.0,0.0,0.0,True
2026-08-08 00:54:00,64873.8,64879.4,64873.7,64879.4,64873.8,64879.4,64873.7,64879.4,0.0,0.0,0.0,0.0,True
2026-08-08 00:55:00,64879.3,64879.4,64879.3,64879.4,64879.3,64879.4,64879.3,64879.4,0.0,0.0,0.0,0.0,True
2026-08-08 00:56:00,64879.4,64882.6,64879.3,64882.6,64879.4,64882.6,64879.3,64882.6,0.0,0.0,0.0,0.0,True
2026-08-08 00:57:00,64882.6,64885.0,64882.5,64885.0,64882.6,64885.0,64882.5,64885.0,0.0,0.0,0.0,0.0,True
2026-08-08 00:58:00,64885.0,64885.0,64884.9,64885.0,64885.0,64885.0,64884.9,64885.0,0.0,0.0,0.0,0.0,True
2026-08-08 00:59:00,64885.0,64890.4,64880.9,64890.3,64885.0,64890.4,64880.9,64890.3,0.0,0.0,0.0,0.0,True
2026-08-08 01:00:00,64890.3,64890.4,64890.3,64890.4,64890.3,64890.4,64890.3,64890.4,0.0,0.0,0.0,0.0,True
2026-08-08 01:01:00,64890.3,64890.4,64890.3,64890.3,64890.3,64890.4,64890.3,64890.3,0.0,0.0,0.0,0.0,True
2026-08-08 01:02:00,64890.3,64890.4,64890.3,64890.4,64890.3,64890.4,64890.3,64890.4,0.0,0.0,0.0,0.0,True
2026-08-08 01:03:00,64890.3,64890.4,64890.3,64890.4,64890.3,64890.4,64890.3,64890.4,0.0,0.0,0.0,0.0,True
2026-08-08 01:04:00,64890.3,64890.4,64887.9,64887.9,64890.3,64890.4,64887.9,64887.9,0.0,0.0,0.0,0.0,True
2026-08-08 01:05:00,64887.9,64888.0,64880.4,64881.2,64887.9,64888.0,64880.4,64881.2,0.0,0.0,0.0,0.0,True
2026-08-08 01:06:00,64881.2,64881.3,64875.9,64875.9,64881.2,64881.3,64875.9,64875.9,0.0,0.0,0.0,0.0,True
2026-08-08 01:07:00,64875.9,64876.0,64871.6,64871.7,64875.9,64876.0,64871.6,64871.7,0.0,0.0,0.0,0.0,True
2026-08-08 01:08:00,64871.6,64878.2,64871.6,64878.2,64871.6,64878.2,64871.6,64878.2,0.0,0.0,0.0,0.0,True
2026-08-08 01:09:00,64878.1,64878.2,64878.1,64878.2,64878.1,64878.2,64878.1,64878.2,0.0,0.0,0.0,0.0,True
2026-08-08 01:10:00,64878.2,64878.2,64877.0,64877.0,64878.2,64878.2,64877.0,64877.0,0.0,0.0,0.0,0.0,True
