flow_id,signal_time,touch_time,class_time,side,state,activation_state,high_volume,atr14,residual_atr,fut_netdelta_norm_15,fut_disp_atr_15,fut_response_eff_15,fut_absorption_gap_15,fut_netdelta_norm_30,fut_disp_atr_30,fut_response_eff_30,fut_absorption_gap_30,fut_netdelta_norm_60,fut_disp_atr_60,fut_response_eff_60,fut_absorption_gap_60,spot_netdelta_norm_15,spot_disp_atr_15,spot_response_eff_15,spot_absorption_gap_15,spot_netdelta_norm_30,spot_disp_atr_30,spot_response_eff_30,spot_absorption_gap_30,spot_netdelta_norm_60,spot_disp_atr_60,spot_response_eff_60,spot_absorption_gap_60,fut_minus_spot_netdelta_60,fut_minus_spot_absorption_gap_60,mechanism_cell,rolling_pressure_median,rolling_response_median,prior_n,rolling_cell,fut_elasticity_15,fut_elasticity_30,fut_elasticity_60,spot_elasticity_15,spot_elasticity_30,spot_elasticity_60,fut_minus_spot_elasticity_60,fut_elasticity_accel_15_60,rolling_elasticity_median,elasticity_prior_n,elasticity_state
0,2021-01-01 00:00:00+00:00,2021-01-01 01:00:00+00:00,2021-01-01 01:00:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,178.38500000000073,-0.8763629228914845,1.4392081166999278,0.377778400650274,0.2624904600430628,1.0614297160496535,1.2672333778231522,0.8729433528603892,0.6888576075544407,0.394290024962763,-0.1504283291812159,0.3549625809344925,1.41985032373797,-0.5053909101157085,0.9384772427528584,0.3644925302015313,0.3883871804204398,0.5739847125513271,2.8108368003278787,0.8885276228382395,0.3161078660755382,1.92230917748964,1.030785255982402,0.4008184544664613,0.3888476791263924,0.6299668015159406,-1.181213585163618,-1.1353577116316491,WEAK,,,0,NOT_HIGH_VOLUME,0.26249046004306276,0.6888576075544407,1.41985032373797,0.3883871804204398,0.31610786607553826,0.3888476791263924,1.0310026446115776,1.1573598636949072,,0,NOT_HIGH_VOLUME
1,2021-01-01 12:00:00+00:00,2021-01-01 12:30:00+00:00,2021-01-01 13:15:00+00:00,1,REJECT,LOWVOL_REJECT,False,134.88714285714326,-0.7069613751178255,3.018587024668403,1.4083625464674216,0.4665635063551406,1.6102244782009814,0.9148255985752276,1.0230774933542297,1.1183306358584588,-0.1082518947790018,0.4173017915796394,0.5619512608424172,1.3466303576489016,-0.1446494692627777,4.118383076934693,1.361582698764041,0.3306109881787551,2.7568003781706523,1.275614416342932,0.9649548299636692,0.7564627818570013,0.3106595863792626,2.539344074996321,0.5730716683788762,0.2256770455101507,1.9662724066174448,-2.1220422834166817,-2.1109218758802224,WEAK,,,0,NOT_HIGH_VOLUME,0.46656350635514066,1.118330635858459,1.3466303576489016,0.3306109881787551,0.7564627818570012,0.2256770455101507,1.120953312138751,0.8800668512937609,,0,NOT_HIGH_VOLUME
2,2021-01-02 00:45:00+00:00,2021-01-02 05:30:00+00:00,2021-01-02 05:45:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,117.40642857142848,8.785464412389183,3.827387205601615,0.7347979241827881,0.1919842139586416,3.0925892814188267,2.797615338857529,1.2966921986506117,0.4634991024820967,1.5009231402069174,2.4217021050240053,1.6904525792576572,0.698043155576685,0.731249525766348,4.226060310801,0.6820750871514856,0.1613973859786696,3.543985223649514,3.8390485026531,1.246439413758071,0.3246740469407141,2.592609088895029,2.61288382888746,1.6442881565258918,0.6293001389296414,0.9685956723615678,-0.1911817238634543,-0.2373461465952198,WEAK,,,0,NOT_HIGH_VOLUME,0.19198421395864165,0.46349910248209675,0.698043155576685,0.16139738597866962,0.32467404694071417,0.6293001389296413,0.06874301664704363,0.5060589416180433,,0,NOT_HIGH_VOLUME
3,2021-01-02 13:00:00+00:00,2021-01-02 13:15:00+00:00,2021-01-02 13:30:00+00:00,1,ACCEPT,IGNITION,True,244.44285714285743,4.576447899012312,1.5954907719855291,0.6324995616854672,0.3964294703493301,0.962991210300062,3.0071861365119075,0.3115656595172686,0.1036070417239484,2.695620476994639,12.503764975502223,3.685687569399792,0.2947662225434426,8.818077406102432,1.837703251525233,0.6281222605341621,0.3417974365626449,1.2095809909910709,0.9133740068279246,0.2557243878206933,0.2799777373879992,0.6576496190072313,22.24467945248136,3.589427853427615,0.1613611857655795,18.655251599053745,-9.740914476979135,-9.837174192951313,EFFICIENT_IGNITION,,,0,UNRESOLVED,0.3964294703493301,0.10360704172394848,0.29476622254344265,0.3417974365626449,0.27997773738799925,0.16136118576557953,0.1334050367778631,-0.10166324780588748,,0,UNRESOLVED
6,2021-01-04 01:00:00+00:00,2021-01-04 07:15:00+00:00,2021-01-04 07:30:00+00:00,-1,ACCEPT,IGNITION,True,384.2507142857131,2.9643926677336867,2.6707608361176933,0.9381635130337124,0.3512720047211184,1.7325973230839808,1.926713948059901,0.7071684967589901,0.3670334651758095,1.219545451300911,1.3415933151195265,0.616316355950636,0.4593913438631935,0.7252769591688902,5.189176223275646,0.7780336870830243,0.1499339497458604,4.411142536192622,2.562776279156915,0.3398041829088525,0.132592214807232,2.2229720962480624,-2.68262169078101,0.5915408652461006,0.2205084925984779,-3.2741625560271106,4.024215005900536,3.9994395151960007,WEAK,,,1,UNRESOLVED,0.35127200472111836,0.3670334651758095,0.45939134386319347,0.1499339497458604,0.13259221480723205,0.2205084925984779,0.23888285126471556,0.10811933914207511,,1,UNRESOLVED
8,2021-01-05 01:00:00+00:00,2021-01-05 04:15:00+00:00,2021-01-05 05:00:00+00:00,-1,REJECT,ABSORPTION,True,343.23714285714334,-2.2520290011903428,2.2047898412409683,1.4039855826459031,0.6367888478004182,0.8008042585950652,8.37207398994324,3.026333313910412,0.3614795231797669,5.345740676032829,10.643003077322875,5.135225125485908,0.4824977582152137,5.507777951836967,11.839238328699938,1.5089567396135937,0.1274538697270478,10.330281589086344,11.073939265956913,3.0200694230561043,0.2727186189597669,8.05386984290081,5.408977811536353,5.179596780235237,0.9575925360958428,0.2293810313011155,5.2340252657865225,5.278396920535852,EFFICIENT_IGNITION,,,2,UNRESOLVED,0.6367888478004182,0.361479523179767,0.4824977582152137,0.12745386972704786,0.2727186189597669,0.9575925360958427,-0.47509477788062904,-0.15429108958520454,,2,UNRESOLVED
9,2021-01-05 13:15:00+00:00,2021-01-05 18:00:00+00:00,2021-01-05 18:00:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,284.3714285714286,2.033185974078168,3.110284872840108,1.176384004822675,0.3782238775281308,1.9339008680174328,1.9871960323356523,1.560634984426816,0.7853452598697686,0.4265610479088364,0.9763264685183786,0.968733045312982,0.992222454834273,0.0075934232053964,3.3959237517716527,1.1101677886064527,0.3269118713361212,2.2857559631652,0.1294377696613511,1.5342610268260797,6.137044107304319,-1.4048232571647286,-1.866930959712001,0.9594142469607084,0.513899157314693,-2.826345206672709,2.8432574282303795,2.833938629878106,WEAK,,,0,NOT_HIGH_VOLUME,0.37822387752813086,0.7853452598697686,0.9922224548342728,0.32691187133612126,6.137044107304319,0.513899157314693,0.4783232975195798,0.613998577306142,,0,NOT_HIGH_VOLUME
10,2021-01-06 01:15:00+00:00,2021-01-06 04:00:00+00:00,2021-01-06 04:00:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,358.02499999999884,-0.1778367432441825,6.2262947820121015,1.163103135255917,0.1868050222447139,5.063191646756184,2.393669066490672,1.165337616088269,0.4868415740513184,1.2283314504024032,1.428119822276717,0.7314014384470399,0.5121429077855914,0.6967183838296772,10.253704540965028,1.0753439005656065,0.1048736967473026,9.178360640399422,4.896916785576741,1.1077159416241822,0.2262068134150904,3.789200843952559,1.486648160691065,0.6823266531666626,0.4589698297204932,0.8043215075244025,-0.058528338414348,-0.1076031236947252,WEAK,,,0,NOT_HIGH_VOLUME,0.18680502224471393,0.48684157405131845,0.5121429077855914,0.10487369674730265,0.22620681341509044,0.45896982972049327,0.05317307806509808,0.3253378855408774,,0,NOT_HIGH_VOLUME
12,2021-01-07 01:15:00+00:00,2021-01-07 03:15:00+00:00,2021-01-07 03:15:00+00:00,1,ACCEPT,LOWVOL_ACCEPT,False,417.3914285714293,1.6246140998172256,2.798079398298748,0.3017551185252722,0.107843658299597,2.496324279773475,1.3686967798130834,0.5721967047033649,0.4180595097049232,0.7965000751097184,-0.4101284459934788,0.684585212921079,1.6691971005882489,-1.094713658914558,1.629507207438736,0.3659155160965622,0.2245559359456342,1.263591691342174,-0.7232314490605022,0.6712643835522664,0.9281460097237992,-1.3944958326127683,-2.470240185856015,0.7760341440374467,0.3141533153257025,-3.246274329893461,2.060111739862536,2.1515606709789035,WEAK,,,0,NOT_HIGH_VOLUME,0.10784365829959701,0.4180595097049232,1.6691971005882487,0.22455593594563428,0.9281460097237993,0.31415331532570256,1.355043785262546,1.5613534422886517,,0,NOT_HIGH_VOLUME
14,2021-01-08 01:45:00+00:00,2021-01-08 02:30:00+00:00,2021-01-08 03:15:00+00:00,-1,REJECT,ABSORPTION,True,597.7635714285706,-5.209434212523106,7.594559471929704,0.5498160405033469,0.0723960412102275,7.044743431426356,7.759797842141952,1.457131283390826,0.1877795418171114,6.302666558751126,6.276797273024128,1.1885301044727432,0.1893529538672062,5.0882671685513845,13.74107622812481,0.549230524729686,0.0399699787419516,13.191845703395124,9.480870038966309,1.441907873275279,0.1520860287451518,8.03896216569103,10.808830034300293,1.1651763896141467,0.1077985670897427,9.643653644686148,-4.532032761276165,-4.555386476134762,ABSORPTION,,,3,UNRESOLVED,0.07239604121022757,0.18777954181711148,0.1893529538672062,0.03996997874195167,0.15208602874515187,0.10779856708974277,0.08155438677746342,0.11695691265697862,,3,UNRESOLVED
