period,bucket,N,EV_R,PF,SumR,WR,MaxDD_R,mean_mfe15,mean_mae15,mean_mfe60,mean_mae60,mean_ret60,impulse60_rate,mean_with_fraction,mean_against_fraction,mean_sequence_aggression_percentile,mean_efficiency_drop_percentile,mean_efficiency_drop,mean_efficiency_slope
historical,CONTROL,5297,0.1322202021482657,1.2256575126182987,700.3704107793633,0.39022087974325087,31.976920699121933,0.6492483563543712,0.5681131332691658,1.3273799979944993,1.135220738299833,0.08650768247315264,0.3092316405512554,0.7053267850396675,0.29467321496033244,0.6539688727188727,0.5382764757764757,0.36505729247983054,-0.12613691678169422
forward_2026,CONTROL,544,0.06525338378964178,1.1054907878098506,35.49784078156513,0.3694852941176471,27.632952848676066,0.5858351148050377,0.556766014470749,1.2981040675512687,1.2079736220560353,0.015967253702886267,0.30330882352941174,0.6702205882352942,0.3297794117647059,0.6189155884165127,0.5562102074347915,0.20762909206913485,-0.08090513900280062
