context_band,compat,n,mean_outcome,p_positive,mean_raw_R
NON_HIGH,ALIGNED,62380,-0.06184776640935658,0.31564604039756333,-0.07041690818902123
NON_HIGH,NEUTRAL,96491,-0.029685902963169246,0.3052098123141018,-0.1098825126008492
NON_HIGH,OPPOSED,57735,0.009151109333435424,0.2901359660517883,-0.14985665120743386
HIGH,ALIGNED,24611,0.013607001996235098,0.3465523546381699,0.015271766706439982
HIGH,NEUTRAL,0,,,
HIGH,OPPOSED,22188,-0.0322240521989146,0.28326122228231476,-0.18166678690535012
