context_band,compat,n,mean_outcome,p_positive
NON_HIGH,ALIGNED,69,0.027721244284592227,0.42028985507246375
NON_HIGH,NEUTRAL,105,0.11058296364405326,0.4380952380952381
NON_HIGH,OPPOSED,93,0.018603023085783307,0.41935483870967744
HIGH,ALIGNED,28,0.4176215143597962,0.5357142857142857
HIGH,NEUTRAL,0,,
HIGH,OPPOSED,32,0.19446247907359385,0.46875
