mechanic,n,aligned_n,opposed_n,aligned_mean,opposed_mean,high_premium,eligible,positive
f_C_BOLLINGER,23702,1862,2145,0.025553729335458485,-0.004630591255332888,0.030184320590791375,True,True
f_C_PIVOT,5487,647,401,-0.10410647527153406,-0.1121647025578587,0.008058227286324632,True,True
f_C_WILLIAMS,55531,4449,5236,0.02738887763636767,-0.014854171836206452,0.04224304947257412,True,True
f_P_3SOLDIER,263,30,46,-0.2826881651378897,-0.21945000760107014,-0.06323815753681955,False,False
f_P_PINBAR,20664,2161,1639,0.09132725541364993,0.0041542192218702425,0.08717303619177968,True,True
f_P_TURNAROUND,36964,4711,1815,-0.024707947513626264,-0.03131619354675982,0.006608246033133553,True,True
f_T_ALLIGATOR,33317,3240,2487,-0.05790668225282545,-0.09314219302418916,0.035235510771363714,True,True
f_T_ENVELOPE,12144,1297,1260,-0.14686619967366257,-0.16084056957390933,0.013974369900246753,True,True
f_T_LINREG,40312,3391,3584,-0.05579707791314938,-0.09601049163699434,0.04021341372384495,True,True
f_T_MACD_MOM,57068,4908,5080,0.009087157536090823,-0.04852206800897508,0.0576092255450659,True,True
f_T_PRICECHANNEL,42102,4153,3138,-0.01856199673416094,-0.1088682579803873,0.09030626124622636,True,True
f_T_PSAR,34696,3027,3087,-0.038622099651854105,-0.08955658549603114,0.050934485844177035,True,True
f_T_SMA_STOCH,1118,76,146,-0.2843619325349523,-0.14087422519121814,-0.14348770734373414,False,False
f_V_ATR_EXP,10335,1088,810,-0.1082811302523505,-0.2605961871514489,0.15231505689909838,True,True
