tf,n,aligned_n,opposed_n,aligned_mean,opposed_mean,high_premium,eligible,positive
H1,13055,1195,966,-0.06966080798101346,0.0441957407550684,-0.11385654873608186,True,False
M15,61676,5762,5239,0.00984468506477205,-0.004667342280446158,0.014512027345218208,True,True
M5,188674,17654,15983,0.02047136718723443,-0.04587550206792568,0.0663468692551601,True,True
