period,n,aligned_n,opposed_n,aligned_mean,opposed_mean,high_premium,eligible,positive
2021,62,3,9,0.6398134724631857,-0.1007396640255323,0.7405531364887179,False,False
2022,49,7,6,0.0886269936945475,0.2527690691573369,-0.16414207546278936,True,False
2023,52,1,8,1.388160988256838,-0.12729534907326417,1.5154563373301022,False,False
2024,64,4,3,0.8825007247059373,0.01415297842298563,0.8683477462829516,False,False
2025_H1,32,2,2,0.4832629230212004,1.4296512626360618,-0.9463883396148614,False,False
2025_H2,33,6,2,-0.04795010512700445,1.3963648933435984,-1.4443149984706027,False,False
2026_JAN_JUL,35,5,2,0.7113167852923891,0.46835671849930494,0.24296006679308413,False,False
