period,n,aligned_n,opposed_n,aligned_mean,opposed_mean,high_premium,eligible,positive
2022,27544,2754,2880,0.0364189469882369,-0.004939580598486426,0.04135852758672333,True,True
2023,64970,5629,5159,-0.00054179494352987,-0.05143460749506531,0.05089281255153544,True,True
2024,66602,5900,5057,0.023716896540128162,-0.014009317550990458,0.03772621409111862,True,True
2025,66664,7349,5963,0.021083584847321486,-0.06554953671371534,0.08663312156103684,True,True
2026,37625,2979,3129,-0.019214180855607412,0.008407436331226785,-0.027621617186834195,True,False
