available_time,D14_CONCORDANCE,SETUP_CONFIRMATION_PCT,correct,combo,OB_CONFIRM,IMBALANCE_CONFIRM,LIQUIDITY_CONFIRM,PRICE_ACTION_CONFIRM
2022-07-20 16:00:00,-1,50,1.0,OTHER_2,False,False,True,True
2022-07-20 20:00:00,-1,75,1.0,NO_OB,False,True,True,True
2022-07-21 04:00:00,-1,75,1.0,NO_LIQUIDITY,True,True,False,True
2022-07-21 08:00:00,-1,50,1.0,OTHER_2,False,True,False,True
2022-07-21 12:00:00,-1,75,0.0,NO_LIQUIDITY,True,True,False,True
2022-08-10 08:00:00,1,50,1.0,OTHER_2,False,False,True,True
2022-08-10 12:00:00,1,100,1.0,ALL4,True,True,True,True
2022-08-12 16:00:00,1,75,1.0,NO_OB,False,True,True,True
2022-08-15 04:00:00,1,25,0.0,OTHER_1,False,False,False,True
2022-08-15 08:00:00,1,50,0.0,OTHER_2,False,False,True,True
2022-09-21 08:00:00,-1,75,0.0,NO_LIQUIDITY,True,True,False,True
2022-09-21 20:00:00,-1,75,1.0,NO_LIQUIDITY,True,True,False,True
2022-10-19 04:00:00,-1,50,1.0,OTHER_2,True,False,True,False
2022-10-19 08:00:00,-1,75,1.0,NO_LIQUIDITY,True,True,False,True
2022-10-19 12:00:00,-1,75,1.0,NO_LIQUIDITY,True,True,False,True
2022-10-20 12:00:00,-1,75,0.0,NO_OB,False,True,True,True
2022-10-20 16:00:00,-1,75,0.0,NO_OB,False,True,True,True
2022-10-20 20:00:00,-1,75,1.0,NO_OB,False,True,True,True
2022-10-21 04:00:00,-1,50,1.0,OTHER_2,True,False,False,True
2022-10-21 08:00:00,-1,75,0.0,NO_LIQUIDITY,True,True,False,True
2022-10-31 08:00:00,-1,75,1.0,NO_OB,False,True,True,True
2022-11-25 04:00:00,1,50,0.0,OTHER_2,False,True,False,True
2022-11-25 08:00:00,1,50,0.0,OTHER_2,False,True,False,True
2022-11-28 12:00:00,1,50,0.0,OTHER_2,False,True,False,True
2022-11-30 08:00:00,1,75,1.0,NO_LIQUIDITY,True,True,False,True
2022-12-09 12:00:00,1,75,1.0,NO_IMBALANCE,True,False,True,True
2022-12-27 12:00:00,1,50,1.0,OTHER_2,False,True,False,True
2022-12-27 16:00:00,1,75,1.0,NO_IMBALANCE,True,False,True,True
2023-01-24 12:00:00,1,50,0.0,OTHER_2,True,True,False,False
2023-01-24 16:00:00,1,25,0.0,OTHER_1,False,False,False,True
2023-01-25 04:00:00,1,25,0.0,OTHER_1,False,False,False,True
2023-02-21 08:00:00,-1,50,1.0,OTHER_2,False,True,False,True
2023-02-21 12:00:00,-1,25,0.0,OTHER_1,False,False,False,True
2023-02-22 08:00:00,-1,25,0.0,OTHER_1,False,False,False,True
2023-02-22 12:00:00,-1,75,0.0,NO_OB,False,True,True,True
2023-02-22 20:00:00,-1,50,1.0,OTHER_2,False,True,False,True
2023-02-23 08:00:00,-1,50,1.0,OTHER_2,False,False,True,True
