side,component,n_present,n_absent,accuracy_present,accuracy_absent,marginal_premium,marginal_ci_lo,marginal_ci_hi,conditional_premium,conditional_weight,eligible_strata,directionally_supportive
BULL,OB_CONFIRM,46,97,0.6521739130434783,0.5463917525773195,0.10578216046615874,-0.057792669876939554,0.2563365022191161,0.1681349206349207,40,4,True
BULL,IMBALANCE_CONFIRM,79,64,0.5822784810126582,0.578125,0.004153481012658222,-0.17290431087899452,0.18616281866281847,0.013180827886710253,51,4,True
BULL,LIQUIDITY_CONFIRM,46,97,0.6739130434782609,0.5360824742268041,0.13783056925145676,-0.04070279783519068,0.2955939062632424,0.16859410430839,42,4,True
BULL,PRICE_ACTION_CONFIRM,133,10,0.5939849624060151,0.4,0.19398496240601504,-0.15168950648907104,0.5345678816357631,-0.16666666666666669,4,1,False
BEAR,OB_CONFIRM,28,49,0.6428571428571429,0.6530612244897959,-0.010204081632652962,-0.23231624319419236,0.19552574441687323,-0.08727412533640902,17,2,False
BEAR,IMBALANCE_CONFIRM,45,32,0.6888888888888889,0.59375,0.09513888888888888,-0.07610020549426778,0.3017241379310345,0.062422871246400675,22,3,True
BEAR,LIQUIDITY_CONFIRM,28,49,0.6071428571428571,0.673469387755102,-0.06632653061224492,-0.23188749926258034,0.1136439393939393,-0.08963585434173667,21,2,False
BEAR,PRICE_ACTION_CONFIRM,69,8,0.6376811594202898,0.75,-0.1123188405797102,-0.375,0.22222222222222227,0.25,4,1,False
