side,n_resolved,accuracy,ci_lo,ci_hi,n_follow24,mean_signed24_atr
BULL,42,0.7619047619047619,0.625,0.8857305194805192,42,1.189917424964926
BEAR,30,0.5666666666666667,0.46153846153846156,0.6842105263157895,37,0.05975666732473488
