side,combination,n_resolved,accuracy,eligible
BULL,NO_OB,14,0.5714285714285714,True
BULL,NO_IMBALANCE,4,1.0,False
BULL,NO_LIQUIDITY,18,0.8333333333333334,True
BULL,NO_PRICE_ACTION,0,,False
BULL,ALL4,6,0.8333333333333334,False
BEAR,NO_OB,12,0.5,True
BEAR,NO_IMBALANCE,3,0.3333333333333333,False
BEAR,NO_LIQUIDITY,13,0.6153846153846154,True
BEAR,NO_PRICE_ACTION,0,,False
BEAR,ALL4,2,1.0,False
