terminal_class,n,managed_ev,baseline_ev,delta
SL,1505,-0.39140303309396424,-1.0382333295037935,0.6468302964098294
TIME,65,-0.1421497157634248,0.18539615305805182,-0.3275458688214766
TP,784,0.22456715746392655,1.4608643729892514,-1.236297215525325
