model,n_snapshots,n_trades,macro_ovr_auc,tp_auc,sl_auc,time_auc,logloss,multiclass_brier,mean_ev_remaining
MINIMAL,27004,2192,0.7512994876277848,0.7292983487021552,0.7332392645109165,0.7913608496702826,0.9063045675833461,0.5203417099684203,-0.03496968461776851
FULL,27004,2192,0.7580581693248378,0.7235543808196492,0.7223198146914073,0.8283003124634569,0.9065755713242475,0.5310869145623143,-0.042419991241741485
