n,mean_signed12_atr,cum_signed12_atr,t,payoff_ratio,hit_rate,median_mae_atr,mean_mae_atr,median_mfe_atr,stop15_touch_rate,window,group,long_n,short_n
631,0.6300419534832703,397.55647264794356,3.0983105584645703,1.421312264928967,0.5562599049128367,2.338207281858909,3.3968463200444243,3.237642076509443,0.6561014263074485,2021,ALL,318,313
76,0.6238006121160448,47.4088465208194,1.32128533474778,1.4946927188665917,0.6052631578947368,2.1304126804716272,3.2589008019730805,3.74185602067619,0.6052631578947368,2021,NEAR4H,43,33
446,0.5179927180054176,231.02475223041625,2.0448462293278262,1.3140095422740505,0.5381165919282511,2.348662463222425,3.4805819699431746,3.147859057755997,0.6524663677130045,2021,FAR4H,220,226
231,0.36519823631169596,84.36079258800177,1.161721099873137,1.2397861068657747,0.5194805194805194,2.6196485599708064,3.655813518188915,3.2799592365663353,0.70995670995671,2021,SWEEP1TO4,115,116
529,0.4511601383582854,238.66371319153296,1.7591112522124404,1.2589386651772998,0.5160680529300568,2.542020046260598,3.727600127287986,3.1252473847893603,0.6748582230623819,2022,ALL,276,253
48,1.739953467570744,83.51776644339571,2.6811506163820815,2.8558827506666637,0.7083333333333334,2.545915287771969,3.0343555039602745,4.326651951993373,0.5833333333333334,2022,NEAR4H,26,22
403,0.37154070220004604,149.73090298661856,1.2457688934570401,1.2076571490387686,0.49627791563275436,2.5221609702315244,3.7070748103687223,2.9114309027520013,0.6625310173697271,2022,FAR4H,212,191
201,0.09964653571857118,20.028953679432806,0.2726572173039005,1.0563184351970616,0.5373134328358209,2.6943707633362806,3.9033611869045397,3.30238150289017,0.7213930348258707,2022,SWEEP1TO4,107,94
572,0.45180734735446315,258.4338026867529,1.6066090078075566,1.2484707848611698,0.4965034965034965,2.6939585769976793,4.24941503535473,3.2748990203298147,0.6975524475524476,2023,ALL,268,304
67,-0.008964424346574452,-0.6006164312204882,-0.010487191367732502,0.9962288354572995,0.5074626865671642,2.9850701997231415,5.083826353431545,4.3232844109479185,0.7164179104477612,2023,NEAR4H,21,46
406,0.44882818964199633,182.22424499465052,1.3162359187146844,1.2487459009545718,0.4876847290640394,2.638633441943549,4.141452229840587,3.246597246061931,0.6847290640394089,2023,FAR4H,202,204
216,0.8477603206494964,183.11622926029122,2.209737419781466,1.5424688790239687,0.5138888888888888,2.5277517198248933,3.8843658994176384,3.3546876358163704,0.6898148148148148,2023,SWEEP1TO4,94,122
583,0.17704766091087282,103.21878631103885,0.7253954064628134,1.0922851130584768,0.5077186963979416,2.607606954251521,3.886562562649347,3.1121044992743028,0.7049742710120068,2024,ALL,279,304
55,-0.7205344865589317,-39.629396760741244,-1.06473799926555,0.6624791883858753,0.4909090909090909,2.9642836798633336,4.47013082398162,2.9669868825279115,0.6363636363636364,2024,NEAR4H,22,33
453,0.2685132812358304,121.63651639983118,0.9304498757144951,1.1387819749393615,0.5209713024282561,2.5219894128776352,3.864096936508077,3.1944396675264928,0.7108167770419426,2024,FAR4H,220,233
179,-0.1526949263965326,-27.332391824979332,-0.37608290502308783,0.9207236903996882,0.45251396648044695,2.607606954251521,3.913922398394876,2.788842095729743,0.7430167597765364,2024,SWEEP1TO4,76,103
256,0.1745576477685618,44.68675782875182,0.397108891244187,1.081036364983263,0.5,2.80703776950877,4.213483986122299,3.112203920393384,0.69140625,2025_H1,ALL,128,128
17,1.1139920138283512,18.93786423508197,0.5101478906580318,1.6266638093726458,0.4117647058823529,4.3709879116298485,4.965733675446592,1.989995831596545,0.8823529411764706,2025_H1,NEAR4H,9,8
206,-0.10699548323291744,-22.041069545980992,-0.21401390478287485,0.9545318355064087,0.4854368932038835,2.847107374538915,4.3396272408389125,3.0607612739698933,0.6893203883495146,2025_H1,FAR4H,107,99
81,-0.24858132333870545,-20.13508719043514,-0.2668295204824105,0.902430097489897,0.4567901234567901,2.8558832575783133,4.711755247188294,3.211290386208551,0.7530864197530864,2025_H1,SWEEP1TO4,41,40
309,0.011283238162014163,3.4865205920623765,0.034118623992468816,1.0054732008502867,0.4401294498381877,2.9990700464976516,3.975965216750772,2.8854747904416262,0.7346278317152104,2025_H2,ALL,147,162
49,-0.4365238379819893,-21.389668061117476,-0.5709410791108017,0.7935200746679193,0.4489795918367347,2.8140850974637814,4.087326112318146,3.1476530819587922,0.7142857142857143,2025_H2,NEAR4H,21,28
200,0.24874371791265967,49.74874358253194,0.5800845153327077,1.1210503543532806,0.465,2.8919490468609226,3.8971631152614465,3.008929216958722,0.71,2025_H2,FAR4H,104,96
123,-0.4345932620617388,-53.454971233593874,-0.8284332332865199,0.8076269804037189,0.42276422764227645,2.897771888496272,4.023686378914823,2.8074020381188394,0.6747967479674797,2025_H2,SWEEP1TO4,51,72
316,0.20164276785954147,63.7191146436151,0.6737361588396983,1.1111463908593784,0.5,2.834344142013648,3.8400831742003874,3.0582517775098,0.7278481012658228,2026_JAN_JUL,ALL,147,169
37,1.6345471793492201,60.47824563592114,2.90904586608541,4.039493274942066,0.7027027027027027,2.6783849918433273,3.0323155277298115,4.151825430130105,0.7027027027027027,2026_JAN_JUL,NEAR4H,12,25
242,0.13674591546929585,33.09251154356959,0.3882775464304801,1.0723519707451945,0.48760330578512395,2.7052863518641437,3.8347662872584376,2.8870208196856435,0.731404958677686,2026_JAN_JUL,FAR4H,116,126
102,-0.7691510208965768,-78.45340413145084,-1.428326029784775,0.6616061950900171,0.4411764705882353,2.9278074436142907,4.398870344978474,3.2569457711936343,0.7058823529411765,2026_JAN_JUL,SWEEP1TO4,44,58
13,-5.530324619136746,-71.8942200487777,-4.4537636402407506,0.014066338662951988,0.07692307692307693,8.657151721998321,8.772613754564988,1.679943531309871,0.9230769230769231,AUG2026_REUSED_AUDIT,ALL,9,4
1,-5.0970051426842655,-5.0970051426842655,,0.0,0.0,7.559040032267828,7.559040032267828,1.679943531309871,1.0,AUG2026_REUSED_AUDIT,NEAR4H,1,0
10,-5.5769783309007055,-55.76978330900705,-4.252504719741165,0.0,0.0,8.732781633351122,8.962597502968421,1.5920401301120035,1.0,AUG2026_REUSED_AUDIT,FAR4H,6,4
4,-5.398550823208988,-21.594203292835953,-3.3679749986990526,0.0,0.0,8.183725788485875,8.160299246790373,2.0010023614681263,1.0,AUG2026_REUSED_AUDIT,SWEEP1TO4,2,2
3196,0.34723565954371016,1109.7651679016976,3.3020050875232787,1.191813840885659,0.5087609511889862,2.648431277323846,3.858740082916605,3.1655460687857486,0.6930538172715894,ALL_PRE_AUG,ALL,1563,1633
349,0.42614052029266203,148.72304158213905,1.4723739332557664,1.2603581262912764,0.5616045845272206,2.6783849918433273,3.944673961751101,3.4590104730949327,0.667621776504298,ALL_PRE_AUG,NEAR4H,154,195
2356,0.3163907479590989,745.4166021916369,2.505186469724814,1.1686875250136153,0.5029711375212224,2.5866641553872016,3.853805390877902,3.073653713687599,0.6871816638370118,ALL_PRE_AUG,FAR4H,1181,1175
1133,0.09543700012997935,108.1301211472666,0.5718815566981752,1.0513470850660436,0.4889673433362754,2.6833204377141904,3.9664025063309127,3.179784589892314,0.7122683142100618,ALL_PRE_AUG,SWEEP1TO4,528,605
625,0.10752901637708398,67.20563523567749,0.4829872975587298,1.0555277704453265,0.4704,2.912847078325719,3.907263256037298,2.995111969989759,0.7312,POOLED_RECENT,ALL,294,331
86,0.4545183438930657,39.08857757480365,0.8948618316315228,1.3165336778442056,0.5581395348837209,2.746235044653554,3.63342620964642,3.45730223770086,0.7093023255813954,POOLED_RECENT,NEAR4H,33,53
442,0.18742365413145143,82.84125512610153,0.6859150962443503,1.0953998954719515,0.47737556561085975,2.789092987738215,3.863000146083329,2.971155899182543,0.7217194570135747,POOLED_RECENT,FAR4H,220,222
225,-0.5862594460668654,-131.90837536504472,-1.5594257308946982,0.7412099874484023,0.4311111111111111,2.9067161830427413,4.193769776863678,2.977610735779035,0.6888888888888889,POOLED_RECENT,SWEEP1TO4,95,130
