slice,horizon,n,rho_return,rho_mae
ALL_PRE_AUG,1H,3196,-0.002501795670533265,-0.015648582872410433
ALL_PRE_AUG,2H,3196,-0.002647648222845135,-0.025245452747593045
ALL_PRE_AUG,4H,3196,-0.009216270683822435,-0.031219877483369095
POOLED_RECENT,1H,625,0.02600319488817892,-0.049789487563220776
POOLED_RECENT,2H,625,0.02441440157286803,-0.06285178948780946
POOLED_RECENT,4H,625,0.01973998525436225,-0.05766134893848028
LONG_PRE_AUG,1H,1563,0.002926433068976209,-0.020227833323440646
LONG_PRE_AUG,2H,1563,0.002731141844886316,-0.023022506833441283
LONG_PRE_AUG,4H,1563,-0.02310100867142564,-0.01644264313717712
SHORT_PRE_AUG,1H,1633,-0.007720067143320785,-0.01176448309675328
SHORT_PRE_AUG,2H,1633,-0.007420462681613918,-0.028344090654777762
SHORT_PRE_AUG,4H,1633,0.005247387904546488,-0.048763366526904134
2022_SHORT,1H,253,-0.03714925950461726,0.03272170636310828
2022_SHORT,2H,253,-0.06992801789104426,0.01865132816611793
2022_SHORT,4H,253,-0.06443339839437068,0.03893288763797521
