window,policy,opportunities,admitted_signals,fills,fill_rate,cum_R,ev_per_opportunity,ev_per_admitted,profit_factor,max_dd_R,max_consecutive_losses,episodes,positive_episodes,negative_episodes,worst_episode_R,top_episode_positive_share,worst_loeo_remaining_R,bootstrap_ci025,bootstrap_ci975,max_episode_fills
2025_H2,BASE_ALL,16,16,12,0.75,6.641638379143569,0.4151023986964731,0.4151023986964731,2.458382503186557,2.382687970462153,2,5,2,3,-1.200929553264599,0.6280794069279425,-0.3901823617918634,-1.167125186330549,0.820587835893124,5
2025_H2,VF1_MATURE,16,10,7,0.7,7.4025032294170225,0.4626564518385639,0.7402503229417023,7.8414769986886075,1.0820036712592849,1,5,2,0,0.0,0.665047618643067,1.7599021197615743,0.0,0.7359914490854933,4
2025_H2,VF2_MATURE,16,7,5,0.7142857142857143,4.575242749454707,0.2859526718409192,0.6536061070649584,5.22849096632901,1.0820036712592844,1,5,2,0,0.0,0.7480102632005127,0.34356436530627565,0.0,0.551958050106317,3
2025_H2,OPP2_MATURE,16,9,6,0.6666666666666666,5.986165474961725,0.3741353421851078,0.6651294972179694,6.532481667085988,1.0820036712592849,1,5,2,0,0.0,0.798311556065726,0.34356436530627654,0.0,0.7359914490854933,4
2025_H2,VF1_KNOWN_OUTCOME,16,9,7,0.7777777777777778,7.4025032294170225,0.4626564518385639,0.8225003588241138,7.8414769986886075,1.0820036712592849,1,5,2,0,0.0,0.665047618643067,1.7599021197615743,0.0,0.7359914490854933,4
2025_H2,KNOWN_POSITIVE,16,9,7,0.7777777777777778,7.4025032294170225,0.4626564518385639,0.8225003588241138,7.8414769986886075,1.0820036712592849,1,5,2,0,0.0,0.665047618643067,1.7599021197615743,0.0,0.7359914490854933,4
2026_JAN_JUL,BASE_ALL,22,22,15,0.6818181818181818,6.172553540376626,0.2805706154716648,0.2805706154716648,1.9289693029183879,2.2803130256894093,2,8,4,3,-1.6995729636177934,0.5585652099150752,0.11336644364882176,-0.25223159762849456,0.8156271512487018,6
2026_JAN_JUL,VF1_MATURE,22,10,8,0.8,6.504049963605985,0.29563863470936297,0.6504049963605986,4.096184296045927,1.065786027699839,1,8,1,1,-0.6551204636177932,0.8320054049638762,-0.6551204636177932,-0.06777108244321998,0.7406038372990115,5
2026_JAN_JUL,VF2_MATURE,22,6,6,1.0,6.10140798907044,0.2773367267759291,1.01690133151174,6.72479637609661,1.065786027699839,1,8,2,0,0.0,0.7983107729128102,0.37975979392648895,0.0,0.5918946408769604,4
2026_JAN_JUL,OPP2_MATURE,22,12,9,0.75,5.459597463605985,0.24816352107299933,0.4549664553004988,2.7358954737164924,2.0793327575442833,2,8,1,1,-1.6995729636177934,0.8320054049638762,-1.6995729636177934,-0.17581789278804758,0.7406038372990115,5
2026_JAN_JUL,VF1_KNOWN_OUTCOME,22,5,5,1.0,7.159170427223779,0.32541683760108087,1.4318340854447558,inf,0.0,0,8,1,0,0.0,1.0,0.0,0.0,0.7406038372990115,5
2026_JAN_JUL,KNOWN_POSITIVE,22,3,3,1.0,4.26157686580836,0.19370803935492545,1.42052562193612,inf,0.0,0,8,1,0,0.0,1.0,0.0,0.0,0.4408527792215545,3
POOLED_RECENT,BASE_ALL,38,38,27,0.7105263157894737,12.814191919520198,0.3372155768294789,0.3372155768294789,2.1442641366163375,2.382687970462153,2,13,6,6,-1.6995729636177934,0.2981394744193446,5.782371178584765,-0.2030280331029589,0.7144085958487382,6
POOLED_RECENT,VF1_MATURE,38,20,15,0.75,13.906553193023008,0.3659619261321844,0.6953276596511506,5.369461296043791,1.0820036712592849,1,13,3,1,-0.6551204636177932,0.41892895683922166,6.747382765799229,-0.018955501648562252,0.6565011044553449,5
POOLED_RECENT,VF2_MATURE,38,13,11,0.8461538461538461,10.676650738525147,0.28096449311908284,0.821280826040396,5.97099448037177,1.0820036712592844,1,13,4,0,0.0,0.44615187875334283,4.955002543381196,0.01908690918368203,0.504851311336231,4
POOLED_RECENT,OPP2_MATURE,38,21,15,0.7142857142857143,11.44576293856771,0.301204287857045,0.5450363304079863,3.7076960879045417,2.0793327575442833,2,13,3,1,-1.6995729636177934,0.45678700805629757,4.286592511343932,-0.09548692381029093,0.6338677304260558,5
POOLED_RECENT,VF1_KNOWN_OUTCOME,38,14,12,0.8571428571428571,14.561673656640803,0.3832019383326527,1.0401195469029145,14.458063076341759,1.0820036712592849,1,13,3,0,0.0,0.45763986799034695,7.402503229417024,0.0,0.6565011044553448,5
POOLED_RECENT,KNOWN_POSITIVE,38,12,10,0.8333333333333334,11.664080095225383,0.3069494761901417,0.9720066746021153,11.78007441661469,1.0820036712592849,1,13,3,0,0.0,0.44269292537465105,6.021478985569935,0.0,0.5261172804790225,4
