book_state,n,accept_rate,residual_mean,hit,long_n,short_n
ABSORPTION,272,0.6323529411764706,-0.09189607649097083,0.43014705882352944,119,153
DRIVEN_MOVE,700,0.6885714285714286,0.5667426059095615,0.5171428571428571,333,367
THIN_BOOK,264,0.7196969696969697,0.3816565414517095,0.4583333333333333,156,108
WEAK,690,0.7159420289855073,0.153902265438526,0.4753623188405797,355,335
