state,slice,n,accept_rate,residual_mean,hit,long_n,short_n
DRIVEN_MOVE,2021,120,0.7416666666666667,0.8418054232340236,0.55,52,68
DRIVEN_MOVE,2022,126,0.6904761904761905,0.34758338354029167,0.49206349206349204,64,62
DRIVEN_MOVE,2023,127,0.6062992125984252,0.8548283449146995,0.49606299212598426,65,62
DRIVEN_MOVE,2024,146,0.678082191780822,0.37412147406986607,0.5273972602739726,70,76
DRIVEN_MOVE,2025_H1,56,0.7321428571428571,0.47728237521840117,0.5357142857142857,21,35
DRIVEN_MOVE,2025_H2,55,0.7272727272727273,0.42781570881753034,0.4909090909090909,27,28
DRIVEN_MOVE,2026_JAN_JUL,70,0.7,0.5495007858138792,0.5285714285714286,34,36
DRIVEN_MOVE,POOLED_RECENT,125,0.712,0.49595935193548585,0.512,61,64
DRIVEN_MOVE,AUG_REUSED,1,0.0,-3.1732411262436955,0.0,0,1
DRIVEN_MOVE,LONG,333,0.6906906906906907,0.47485899972008716,0.5105105105105106,333,0
DRIVEN_MOVE,SHORT,367,0.6866485013623979,0.6501138344139075,0.5231607629427792,0,367
DRIVEN_MOVE,2022_SHORT,62,0.6774193548387096,0.42847496231774107,0.4838709677419355,0,62
ABSORPTION,2021,39,0.5897435897435898,-0.6186345837870182,0.41025641025641024,14,25
ABSORPTION,2022,41,0.6829268292682927,0.4766349294929741,0.4634146341463415,18,23
ABSORPTION,2023,43,0.5348837209302325,-0.6072154085205853,0.32558139534883723,23,20
ABSORPTION,2024,48,0.6666666666666666,1.4513565451612482,0.4791666666666667,19,29
ABSORPTION,2025_H1,29,0.6896551724137931,-0.3147435320841396,0.3793103448275862,14,15
ABSORPTION,2025_H2,32,0.53125,-1.1518998581959818,0.46875,14,18
ABSORPTION,2026_JAN_JUL,40,0.725,-0.44943774639263945,0.475,17,23
ABSORPTION,POOLED_RECENT,72,0.6388888888888888,-0.7616431294163473,0.4722222222222222,31,41
ABSORPTION,AUG_REUSED,0,,,,0,0
ABSORPTION,LONG,119,0.680672268907563,0.17830875384512074,0.4369747899159664,119,0
ABSORPTION,SHORT,153,0.5947712418300654,-0.3020553889745976,0.42483660130718953,0,153
ABSORPTION,2022_SHORT,23,0.6086956521739131,-0.03659486707320604,0.391304347826087,0,23
