name,shift_min,overlap_n,exact_share,abs_error,correlation,ratio_digits_ge6_share,ratio_digits_p50,family,value_kind,overlap_ge200,exact_share_ge99_9,max_abs_error_le1e_8,high_precision,fresh_beyond_archive,archive_equivalent,archive_equivalent_live
https://www.binance.com:reported,-5,407,0.0,"{'n': 407, 'mean': 0.0001284782800982854, 'p50': 0.00012428000000008765, 'p95': 0.00025813199999999973, 'p99': 0.00028397340000009487, 'max': 0.00030218000000004075}",0.9999967291605706,0.0,4.0,official_rest,reported,True,False,False,False,True,False,False
https://www.binance.com:recon_la_sa,-5,407,0.0,"{'n': 407, 'mean': 0.00012674497673320016, 'p50': 0.0001242240724761423, 'p95': 0.00024350335322138593, 'p99': 0.0002592778599166579, 'max': 0.0002666748491877424}",0.9999968458984918,,,official_reconstruction,recon_la_sa,True,False,False,False,True,False,False
https://www.binance.com:recon_1msa,-5,407,0.0,"{'n': 407, 'mean': 0.00012674497673319522, 'p50': 0.0001242240724761423, 'p95': 0.00024350335322145255, 'p99': 0.0002592778599166312, 'max': 0.0002666748491877424}",0.9999968458984922,,,official_reconstruction,recon_1msa,True,False,False,False,True,False,False
https://www.binance.com:recon_la_1mla,-5,407,0.0,"{'n': 407, 'mean': 0.0001267449767331996, 'p50': 0.0001242240724761423, 'p95': 0.0002435033532212305, 'p99': 0.0002592778599166579, 'max': 0.0002666748491877424}",0.9999968458984914,,,official_reconstruction,recon_la_1mla,True,False,False,False,True,False,False
