time,archive_ratio_str,archive_ratio,archive_digits,source_date
2026-09-05 23:55:00+00:00,1.04759722,1.04759722,8,2026-09-05
2026-09-06 00:00:00+00:00,1.04667617,1.04667617,8,2026-09-06
2026-09-06 00:05:00+00:00,1.04638028,1.04638028,8,2026-09-06
2026-09-06 00:10:00+00:00,1.04650157,1.04650157,8,2026-09-06
2026-09-06 00:15:00+00:00,1.04693343,1.04693343,8,2026-09-06
2026-09-06 00:20:00+00:00,1.04741368,1.04741368,8,2026-09-06
2026-09-06 00:25:00+00:00,1.04739132,1.04739132,8,2026-09-06
2026-09-06 00:30:00+00:00,1.04790861,1.04790861,8,2026-09-06
2026-09-06 00:35:00+00:00,1.04723578,1.04723578,8,2026-09-06
2026-09-06 00:40:00+00:00,1.04862630,1.0486263,8,2026-09-06
2026-09-06 00:45:00+00:00,1.04896573,1.04896573,8,2026-09-06
2026-09-06 00:50:00+00:00,1.04803205,1.04803205,8,2026-09-06
2026-09-06 00:55:00+00:00,1.05031695,1.05031695,8,2026-09-06
2026-09-06 01:00:00+00:00,1.05101508,1.05101508,8,2026-09-06
2026-09-06 01:05:00+00:00,1.05339595,1.05339595,8,2026-09-06
2026-09-06 01:10:00+00:00,1.05602688,1.05602688,8,2026-09-06
2026-09-06 01:15:00+00:00,1.05640246,1.05640246,8,2026-09-06
2026-09-06 01:20:00+00:00,1.05587991,1.05587991,8,2026-09-06
2026-09-06 01:25:00+00:00,1.05595433,1.05595433,8,2026-09-06
2026-09-06 01:30:00+00:00,1.05635962,1.05635962,8,2026-09-06
2026-09-06 01:35:00+00:00,1.05765438,1.05765438,8,2026-09-06
2026-09-06 01:40:00+00:00,1.05890944,1.05890944,8,2026-09-06
2026-09-06 01:45:00+00:00,1.05809830,1.0580983,8,2026-09-06
2026-09-06 01:50:00+00:00,1.05893653,1.05893653,8,2026-09-06
2026-09-06 01:55:00+00:00,1.06044646,1.06044646,8,2026-09-06
2026-09-06 02:00:00+00:00,1.05912333,1.05912333,8,2026-09-06
2026-09-06 02:05:00+00:00,1.05922645,1.05922645,8,2026-09-06
2026-09-06 02:10:00+00:00,1.05996900,1.059969,8,2026-09-06
2026-09-06 02:15:00+00:00,1.06043097,1.06043097,8,2026-09-06
2026-09-06 02:20:00+00:00,1.06061577,1.06061577,8,2026-09-06
2026-09-06 02:25:00+00:00,1.06090232,1.06090232,8,2026-09-06
2026-09-06 02:30:00+00:00,1.06103701,1.06103701,8,2026-09-06
2026-09-06 02:35:00+00:00,1.06075862,1.06075862,8,2026-09-06
2026-09-06 02:40:00+00:00,1.06119311,1.06119311,8,2026-09-06
2026-09-06 02:45:00+00:00,1.06041704,1.06041704,8,2026-09-06
2026-09-06 02:50:00+00:00,1.05998950,1.0599895,8,2026-09-06
2026-09-06 02:55:00+00:00,1.05346845,1.05346845,8,2026-09-06
2026-09-06 03:00:00+00:00,1.05329872,1.05329872,8,2026-09-06
2026-09-06 03:05:00+00:00,1.05395258,1.05395258,8,2026-09-06
2026-09-06 03:10:00+00:00,1.05433372,1.05433372,8,2026-09-06
2026-09-06 03:15:00+00:00,1.05557183,1.05557183,8,2026-09-06
2026-09-06 03:20:00+00:00,1.05587318,1.05587318,8,2026-09-06
2026-09-06 03:25:00+00:00,1.05606346,1.05606346,8,2026-09-06
2026-09-06 03:30:00+00:00,1.05621125,1.05621125,8,2026-09-06
2026-09-06 03:35:00+00:00,1.05759576,1.05759576,8,2026-09-06
2026-09-06 03:40:00+00:00,1.06006328,1.06006328,8,2026-09-06
2026-09-06 03:45:00+00:00,1.06004233,1.06004233,8,2026-09-06
2026-09-06 03:50:00+00:00,1.05997961,1.05997961,8,2026-09-06
2026-09-06 03:55:00+00:00,1.06114645,1.06114645,8,2026-09-06
2026-09-06 04:00:00+00:00,1.06067633,1.06067633,8,2026-09-06
2026-09-06 04:05:00+00:00,1.06086325,1.06086325,8,2026-09-06
2026-09-06 04:10:00+00:00,1.06128432,1.06128432,8,2026-09-06
2026-09-06 04:15:00+00:00,1.06118808,1.06118808,8,2026-09-06
2026-09-06 04:20:00+00:00,1.06009759,1.06009759,8,2026-09-06
2026-09-06 04:25:00+00:00,1.05990396,1.05990396,8,2026-09-06
2026-09-06 04:30:00+00:00,1.05978780,1.0597878,8,2026-09-06
2026-09-06 04:35:00+00:00,1.05953806,1.05953806,8,2026-09-06
2026-09-06 04:40:00+00:00,1.06253987,1.06253987,8,2026-09-06
2026-09-06 04:45:00+00:00,1.06437308,1.06437308,8,2026-09-06
2026-09-06 04:50:00+00:00,1.06485781,1.06485781,8,2026-09-06
2026-09-06 04:55:00+00:00,1.06577432,1.06577432,8,2026-09-06
2026-09-06 05:00:00+00:00,1.06676991,1.06676991,8,2026-09-06
2026-09-06 05:05:00+00:00,1.06709932,1.06709932,8,2026-09-06
2026-09-06 05:10:00+00:00,1.06469565,1.06469565,8,2026-09-06
2026-09-06 05:15:00+00:00,1.06565114,1.06565114,8,2026-09-06
2026-09-06 05:20:00+00:00,1.06624626,1.06624626,8,2026-09-06
2026-09-06 05:25:00+00:00,1.06781071,1.06781071,8,2026-09-06
2026-09-06 05:30:00+00:00,1.06894564,1.06894564,8,2026-09-06
2026-09-06 05:35:00+00:00,1.06991275,1.06991275,8,2026-09-06
2026-09-06 05:40:00+00:00,1.06959524,1.06959524,8,2026-09-06
2026-09-06 05:45:00+00:00,1.06947652,1.06947652,8,2026-09-06
2026-09-06 05:50:00+00:00,1.06942912,1.06942912,8,2026-09-06
2026-09-06 05:55:00+00:00,1.06956455,1.06956455,8,2026-09-06
2026-09-06 06:00:00+00:00,1.06899736,1.06899736,8,2026-09-06
2026-09-06 06:05:00+00:00,1.06887264,1.06887264,8,2026-09-06
2026-09-06 06:10:00+00:00,1.06801169,1.06801169,8,2026-09-06
2026-09-06 06:15:00+00:00,1.06879793,1.06879793,8,2026-09-06
2026-09-06 06:20:00+00:00,1.06954233,1.06954233,8,2026-09-06
2026-09-06 06:25:00+00:00,1.07039595,1.07039595,8,2026-09-06
2026-09-06 06:30:00+00:00,1.07265369,1.07265369,8,2026-09-06
2026-09-06 06:35:00+00:00,1.07360481,1.07360481,8,2026-09-06
2026-09-06 06:40:00+00:00,1.07490256,1.07490256,8,2026-09-06
2026-09-06 06:45:00+00:00,1.07248879,1.07248879,8,2026-09-06
2026-09-06 06:50:00+00:00,1.07363457,1.07363457,8,2026-09-06
2026-09-06 06:55:00+00:00,1.07384841,1.07384841,8,2026-09-06
2026-09-06 07:00:00+00:00,1.07449344,1.07449344,8,2026-09-06
2026-09-06 07:05:00+00:00,1.07519998,1.07519998,8,2026-09-06
2026-09-06 07:10:00+00:00,1.06673363,1.06673363,8,2026-09-06
2026-09-06 07:15:00+00:00,1.06554105,1.06554105,8,2026-09-06
2026-09-06 07:20:00+00:00,1.06711496,1.06711496,8,2026-09-06
2026-09-06 07:25:00+00:00,1.06668641,1.06668641,8,2026-09-06
2026-09-06 07:30:00+00:00,1.06731376,1.06731376,8,2026-09-06
2026-09-06 07:35:00+00:00,1.06564630,1.0656463,8,2026-09-06
2026-09-06 07:40:00+00:00,1.06522494,1.06522494,8,2026-09-06
2026-09-06 07:45:00+00:00,1.06649432,1.06649432,8,2026-09-06
2026-09-06 07:50:00+00:00,1.06604695,1.06604695,8,2026-09-06
2026-09-06 07:55:00+00:00,1.06682439,1.06682439,8,2026-09-06
2026-09-06 08:00:00+00:00,1.06588450,1.0658845,8,2026-09-06
2026-09-06 08:05:00+00:00,1.06625469,1.06625469,8,2026-09-06
2026-09-06 08:10:00+00:00,1.06756739,1.06756739,8,2026-09-06
2026-09-06 08:15:00+00:00,1.06745241,1.06745241,8,2026-09-06
2026-09-06 08:20:00+00:00,1.06626854,1.06626854,8,2026-09-06
2026-09-06 08:25:00+00:00,1.06507759,1.06507759,8,2026-09-06
2026-09-06 08:30:00+00:00,1.06286059,1.06286059,8,2026-09-06
2026-09-06 08:35:00+00:00,1.06173852,1.06173852,8,2026-09-06
2026-09-06 08:40:00+00:00,1.06043070,1.0604307,8,2026-09-06
2026-09-06 08:45:00+00:00,1.05858206,1.05858206,8,2026-09-06
2026-09-06 08:50:00+00:00,1.05888973,1.05888973,8,2026-09-06
2026-09-06 08:55:00+00:00,1.06019164,1.06019164,8,2026-09-06
2026-09-06 09:00:00+00:00,1.06019365,1.06019365,8,2026-09-06
2026-09-06 09:05:00+00:00,1.06101196,1.06101196,8,2026-09-06
2026-09-06 09:10:00+00:00,1.06246156,1.06246156,8,2026-09-06
2026-09-06 09:15:00+00:00,1.06445325,1.06445325,8,2026-09-06
2026-09-06 09:20:00+00:00,1.06470400,1.064704,8,2026-09-06
2026-09-06 09:25:00+00:00,1.06685244,1.06685244,8,2026-09-06
2026-09-06 09:30:00+00:00,1.06659819,1.06659819,8,2026-09-06
2026-09-06 09:35:00+00:00,1.06407100,1.064071,8,2026-09-06
2026-09-06 09:40:00+00:00,1.06358181,1.06358181,8,2026-09-06
2026-09-06 09:45:00+00:00,1.06262336,1.06262336,8,2026-09-06
2026-09-06 09:50:00+00:00,1.06333722,1.06333722,8,2026-09-06
2026-09-06 09:55:00+00:00,1.06255685,1.06255685,8,2026-09-06
2026-09-06 10:00:00+00:00,1.06294754,1.06294754,8,2026-09-06
2026-09-06 10:05:00+00:00,1.06267529,1.06267529,8,2026-09-06
2026-09-06 10:10:00+00:00,1.06271612,1.06271612,8,2026-09-06
2026-09-06 10:15:00+00:00,1.06339120,1.0633912,8,2026-09-06
2026-09-06 10:20:00+00:00,1.06282253,1.06282253,8,2026-09-06
2026-09-06 10:25:00+00:00,1.06252961,1.06252961,8,2026-09-06
2026-09-06 10:30:00+00:00,1.06220004,1.06220004,8,2026-09-06
2026-09-06 10:35:00+00:00,1.06178999,1.06178999,8,2026-09-06
2026-09-06 10:40:00+00:00,1.06256480,1.0625648,8,2026-09-06
2026-09-06 10:45:00+00:00,1.06192663,1.06192663,8,2026-09-06
2026-09-06 10:50:00+00:00,1.06181716,1.06181716,8,2026-09-06
2026-09-06 10:55:00+00:00,1.06235365,1.06235365,8,2026-09-06
2026-09-06 11:00:00+00:00,1.06127564,1.06127564,8,2026-09-06
2026-09-06 11:05:00+00:00,1.06101630,1.0610163,8,2026-09-06
2026-09-06 11:10:00+00:00,1.05987557,1.05987557,8,2026-09-06
2026-09-06 11:15:00+00:00,1.05921036,1.05921036,8,2026-09-06
2026-09-06 11:20:00+00:00,1.05922313,1.05922313,8,2026-09-06
2026-09-06 11:25:00+00:00,1.05955148,1.05955148,8,2026-09-06
2026-09-06 11:30:00+00:00,1.06020926,1.06020926,8,2026-09-06
2026-09-06 11:35:00+00:00,1.06068504,1.06068504,8,2026-09-06
2026-09-06 11:40:00+00:00,1.05955877,1.05955877,8,2026-09-06
2026-09-06 11:45:00+00:00,1.05982710,1.0598271,8,2026-09-06
2026-09-06 11:50:00+00:00,1.06002248,1.06002248,8,2026-09-06
2026-09-06 11:55:00+00:00,1.05998161,1.05998161,8,2026-09-06
2026-09-06 12:00:00+00:00,1.06020866,1.06020866,8,2026-09-06
2026-09-06 12:05:00+00:00,1.05937763,1.05937763,8,2026-09-06
2026-09-06 12:10:00+00:00,1.05883779,1.05883779,8,2026-09-06
2026-09-06 12:15:00+00:00,1.05897439,1.05897439,8,2026-09-06
2026-09-06 12:20:00+00:00,1.05918458,1.05918458,8,2026-09-06
2026-09-06 12:25:00+00:00,1.05914630,1.0591463,8,2026-09-06
2026-09-06 12:30:00+00:00,1.06008348,1.06008348,8,2026-09-06
2026-09-06 12:35:00+00:00,1.06029079,1.06029079,8,2026-09-06
2026-09-06 12:40:00+00:00,1.06033525,1.06033525,8,2026-09-06
2026-09-06 12:45:00+00:00,1.05906220,1.0590622,8,2026-09-06
2026-09-06 12:50:00+00:00,1.05937803,1.05937803,8,2026-09-06
2026-09-06 12:55:00+00:00,1.05979481,1.05979481,8,2026-09-06
2026-09-06 13:00:00+00:00,1.05842740,1.0584274,8,2026-09-06
2026-09-06 13:05:00+00:00,1.05897436,1.05897436,8,2026-09-06
2026-09-06 13:10:00+00:00,1.05892108,1.05892108,8,2026-09-06
2026-09-06 13:15:00+00:00,1.05748989,1.05748989,8,2026-09-06
2026-09-06 13:20:00+00:00,1.05650849,1.05650849,8,2026-09-06
2026-09-06 13:25:00+00:00,1.05513708,1.05513708,8,2026-09-06
2026-09-06 13:30:00+00:00,1.05356779,1.05356779,8,2026-09-06
2026-09-06 13:35:00+00:00,1.05463576,1.05463576,8,2026-09-06
2026-09-06 13:40:00+00:00,1.05551592,1.05551592,8,2026-09-06
2026-09-06 13:45:00+00:00,1.05529737,1.05529737,8,2026-09-06
2026-09-06 13:50:00+00:00,1.05547917,1.05547917,8,2026-09-06
