sample,n,ext_n,ext_rate,ext_resid,ext_t,ext_pf,ext_win,second_n,second_resid,second_pf,gap,ambiguous_n,ambiguous_rate,none_n,median_ext_h,ext_mae,ext_mfe
2021,154,134,0.8701298701298701,0.2008723316658254,0.67569345790289,1.1820095380180589,0.5,18,-0.2888753538365282,0.7906174130015029,0.4897476855023536,0,0.0,2,0.25,1.9779536161445157,2.2374722119141777
2022,109,93,0.8532110091743119,0.604679247568911,1.6020865532187631,1.600223337358189,0.5591397849462365,13,1.3171033556913514,5.789611911921638,-0.7124241081224404,0,0.0,3,0.25,1.5193561897923555,3.140458869613926
2023,125,101,0.808,1.058217848078721,1.6369953141771836,1.6950147058720186,0.5544554455445545,17,-0.7103903959148019,0.6662229374736749,1.768608243993523,0,0.0,7,0.25,1.9906097077106175,3.153833228313347
2024,122,106,0.8688524590163934,0.5698725748595707,1.2950149551470262,1.4365322911580825,0.5188679245283019,16,-0.7227101053833613,0.5632721684047831,1.292582680242932,0,0.0,0,0.25,1.2900736832266912,2.5795049160011723
2025_H1,59,54,0.9152542372881356,0.4764257010361008,0.8539590230303302,1.403102247874811,0.5370370370370371,5,1.4182862790284214,7.179841209326836,-0.9418605779923206,0,0.0,0,0.25,1.6976898253850066,2.773307764008187
2025_H2,66,56,0.8484848484848485,-0.14010184731360692,-0.23251836596968153,0.9207597244759631,0.48214285714285715,8,0.26059498979723406,1.4825548207870327,-0.400696837110841,0,0.0,2,0.25,2.6856299267285566,2.7163404444808785
2026_JAN_JUL,66,56,0.8484848484848485,1.3157754593331779,1.762890718004216,2.0631681681863516,0.5714285714285714,8,-0.882790886343473,0.5408123127447274,2.198566345676651,0,0.0,2,0.25,1.8456112717729736,3.397188906164345
AUG2026_REUSED_AUDIT,2,2,1.0,-8.28514012007456,-1.7376523109605746,0.0,0.0,0,,,,0,0.0,0,0.25,10.925394989825076,0.378302883889472
HIST,569,488,0.8576449912126538,0.5659130039224265,2.7446548867672593,1.4621560031495118,0.5307377049180327,69,-0.06704318502338041,0.9498349413439263,0.6329561889458069,0,0.0,12,0.25,1.648773007122539,2.6564937146699723
RECENT,132,112,0.8484848484848485,0.5878368060097855,1.2185041348245567,1.3911529383200996,0.5267857142857143,16,-0.31109794827311954,0.7473354587302603,0.898934754282905,0,0.0,4,0.25,2.093493656319763,3.209510135827259
ALL_PRE_AUG,701,600,0.8559201141226819,0.5700054469787336,2.99742272903625,1.446551616405389,0.53,85,-0.11298290516450774,0.9141892862263591,0.6829883521432413,0,0.0,16,0.25,1.770090202353198,2.717782141536518
