sample,n,ext_n,ext_rate,ext_resid,ext_t,ext_pf,ext_win,second_n,second_resid,second_pf,gap,ambiguous_n,ambiguous_rate,none_n,median_ext_h,ext_mae,ext_mfe
LONG,325,278,0.8553846153846154,0.31136359732376107,1.1557082983401517,1.2359314685197331,0.49280575539568344,39,-0.5140363577483947,0.7238862176786773,0.8253999550721558,0,0.0,8,0.25,1.9700926451560428,2.474847259864486
SHORT,376,322,0.8563829787234043,0.7933049320845792,2.970312714029596,1.6402207402016729,0.562111801242236,46,0.22704067420009227,1.2656808564437874,0.566264257884487,0,0.0,8,0.25,1.6831353423155822,2.8771730869720775
