year,n,raw_rev,smooth_rev,full_rev,raw_rev_share,smooth_rev_share,full_rev_share
2020,2194,40,9,6,0.018231540565177756,0.004102096627164996,0.0027347310847766638
2021,2190,33,9,3,0.015068493150684932,0.00410958904109589,0.0013698630136986301
2022,2190,39,9,6,0.01780821917808219,0.00410958904109589,0.0027397260273972603
2023,2190,39,8,7,0.01780821917808219,0.0036529680365296802,0.0031963470319634705
2024,2196,35,5,0,0.015938069216757743,0.002276867030965392,0.0
2025,2190,39,9,7,0.01780821917808219,0.00410958904109589,0.0031963470319634705
2026,1272,15,0,0,0.01179245283018868,0.0,0.0
