next_context,bars,next_bar_transition_to_state,conversion
EXPANSION,5658,389,0.06875220926122305
PULLBACK,5495,477,0.08680618744313012
REVERSAL,510,4,0.00784313725490196
RANGE,2759,170,0.061616527727437476
