vol_state,n,raw_rev,smooth_rev,full_rev,raw_rev_share,smooth_rev_share,full_rev_share
HIGH,1038,10,0,0,0.009633911368015413,0.0,0.0
LOW,1820,17,2,4,0.00934065934065934,0.001098901098901099,0.002197802197802198
NORMAL,11564,213,47,25,0.018419232099619508,0.004064337599446559,0.0021618817018332756
