winner,n,median_margin,mean_margin,share
EXPANSION,3364,46.66666666666667,46.84106222750694,0.28101244674630355
PULLBACK,6964,51.66666666666667,50.212042887229565,0.5817392030740958
RANGE,1643,46.66666666666667,46.102657739906675,0.13724835017960071
