stage,n,share
REVERSAL_SCORE_ACTIVE,12018,0.8333102204964637
RAW_WINNER,240,0.01664124254611011
SMOOTH_WINNER,49,0.003397587019830814
FULL_MACHINE_CURRENT,29,0.0020108168076549715
