flow_id_new,signal_time,side,signed12_atr,signal_close,atr14,level,touch_time,class_time,state,class_price,pressure_mag_60,response_60,fut_elasticity_60,prior_n,pressure_med90,response_med90,book_state,response_router
49,2026-08-01 07:30:00+00:00,1,-12.053148120187398,63014.4,47.307142857142544,63118.7,2026-08-01 08:45:00+00:00,2026-08-01 09:30:00+00:00,REJECT,63073.5,0.01501709872063877,1.1752982032311412,4.701192812924565,84,1.3851966384362835,1.0363903796207872,THIN_BOOK,HIGH_RESPONSE
50,2026-08-01 19:30:00+00:00,-1,-7.2239457101309785,62444.2,147.3571428571408,62228.8,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
51,2026-08-02 07:30:00+00:00,1,-2.2851681957186414,63508.7,56.057142857142544,63620.0,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
52,2026-08-02 23:00:00+00:00,1,-5.0970051426842655,63339.1,141.67142857142866,63779.0,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
53,2026-08-03 11:00:00+00:00,-1,-6.823791659870566,62617.0,131.37857142857214,62268.2,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
54,2026-08-04 04:30:00+00:00,1,-0.7750204526861391,64035.8,157.15714285714265,64058.8,2026-08-04 04:45:00+00:00,2026-08-04 05:30:00+00:00,REJECT,63830.7,1.348364990140179,1.4692300699936482,1.0896382513171776,84,1.3851966384362835,1.0711777765340005,THIN_BOOK,HIGH_RESPONSE
55,2026-08-04 16:30:00+00:00,1,1.0257165231010243,63914.0,228.03571428571428,64239.8,2026-08-04 18:15:00+00:00,2026-08-04 18:15:00+00:00,ACCEPT,64331.8,0.5212546594752152,0.6490211433046202,1.2451133654287845,84,1.4050031987004112,1.123853301053423,WEAK,LOW_RESPONSE
56,2026-08-05 09:15:00+00:00,-1,-5.100698609836927,64130.4,101.22142857142899,63917.1,2026-08-05 13:30:00+00:00,2026-08-05 14:15:00+00:00,REJECT,64325.5,4.049757330545986,3.7472302589795476,0.9252974815837541,85,1.348364990140179,1.1058823529411568,DRIVEN_MOVE,HIGH_RESPONSE
57,2026-08-06 06:00:00+00:00,1,-2.5171321199616856,64755.6,96.93571428571418,65022.0,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
58,2026-08-07 01:00:00+00:00,-1,-9.60161030595797,64334.3,88.71428571428676,64111.0,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
