signal_time,side,response_router,state,entry_time,entry_price,risk_dist,level,horizon,traded,exit_time,exit_price,exit_reason,persistent_exit,net_r_5bps,net_r_10bps,fp_state,fp_time,parent_exit_reason,parent_exit_time
2026-08-21 06:45:00+00:00,1,LOW_RESPONSE,ACCEPT,,,,75767.5,2026-08-21 18:45:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-08-23 05:00:00+00:00,1,LOW_RESPONSE,ACCEPT,,,,77498.0,2026-08-23 17:00:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-08-24 11:15:00+00:00,1,LOW_RESPONSE,ACCEPT,,,,78016.6,2026-08-24 23:15:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-08-25 02:15:00+00:00,1,LOW_RESPONSE,ACCEPT,,,,79974.8,2026-08-25 14:15:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-08-25 14:15:00+00:00,-1,HIGH_RESPONSE,REJECT,,,,78100.1,2026-08-26 02:15:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-08-27 09:45:00+00:00,1,HIGH_RESPONSE,ACCEPT,,,,80499.9,2026-08-27 21:45:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-08-28 04:45:00+00:00,-1,LOW_RESPONSE,REJECT,,,,79560.2,2026-08-28 16:45:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-08-28 16:45:00+00:00,-1,UNRESOLVED,NO_TOUCH,,,,76853.1,2026-08-29 04:45:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-08-30 01:45:00+00:00,1,LOW_RESPONSE,ACCEPT,,,,78314.9,2026-08-30 13:45:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-08-30 15:00:00+00:00,1,LOW_RESPONSE,ACCEPT,,,,78939.9,2026-08-31 03:00:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-08-31 10:00:00+00:00,1,LOW_RESPONSE,ACCEPT,,,,78776.4,2026-08-31 22:00:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-09-01 08:30:00+00:00,-1,HIGH_RESPONSE,ACCEPT,2026-09-01 09:00:00+00:00,77789.1,523.6428571428484,77836.4,2026-09-01 20:30:00+00:00,True,2026-09-01 11:00:00+00:00,77949.8,PERSISTENT_FAILURE_EXIT,True,-0.381165420815715,-0.45544228618196914,ADVERSE_FIRST,2026-09-01 10:30:00+00:00,SL,2026-09-01 14:00:00+00:00
2026-09-01 21:00:00+00:00,-1,UNRESOLVED,NO_TOUCH,,,,76368.0,2026-09-02 09:00:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-09-02 09:45:00+00:00,-1,HIGH_RESPONSE,REJECT,,,,76476.1,2026-09-02 21:45:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-09-03 13:00:00+00:00,1,HIGH_RESPONSE,ACCEPT,,,,78750.4,2026-09-04 01:00:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-09-04 10:00:00+00:00,-1,LOW_RESPONSE,ACCEPT,,,,80458.0,2026-09-04 22:00:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-09-07 05:00:00+00:00,-1,LOW_RESPONSE,ACCEPT,,,,79500.8,2026-09-07 17:00:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-09-07 17:00:00+00:00,-1,UNRESOLVED,UNRESOLVED,,,,78636.0,2026-09-08 05:00:00+00:00,False,,,NO_TRADE,False,0.0,0.0,,,,
2026-09-08 05:00:00+00:00,-1,HIGH_RESPONSE,ACCEPT,2026-09-08 05:30:00+00:00,78596.1,449.01785714285717,78650.0,2026-09-08 17:00:00+00:00,True,2026-09-08 13:30:00+00:00,77922.57321428572,TP,False,1.412479984092274,1.3249599681845388,FAVORABLE_FIRST,2026-09-08 06:15:00+00:00,TP,2026-09-08 13:30:00+00:00
