signal_time,side,signed12_atr,delta_ls_12,q20,q80,history_n,flow_id_new
2026-07-01 00:15:00+00:00,1,1.179262578936654,-0.03818083999999988,-0.030330009999999685,0.03747379999999989,7381,0
2026-07-01 12:30:00+00:00,-1,-7.93868735194393,0.056460430000000006,-0.030794659999999967,0.03741708400000012,7430,1
2026-07-02 00:30:00+00:00,-1,-7.397643371605912,0.09069514999999995,-0.03134457199999995,0.03735014600000015,7478,2
2026-07-02 12:30:00+00:00,1,-0.1091141066178451,-0.09393695999999996,-0.03164135999999984,0.037546579999999885,7526,3
2026-07-03 01:15:00+00:00,-1,-3.474960913441065,0.04311173999999984,-0.03174735800000004,0.037472841999999944,7577,4
2026-07-03 13:15:00+00:00,1,2.457941087154531,-0.05932124999999999,-0.03163620800000006,0.03751201599999998,7625,5
2026-07-04 01:15:00+00:00,1,1.0864054184808962,-0.03674256999999992,-0.03268470399999998,0.037308316000000064,7673,6
2026-07-04 15:00:00+00:00,-1,0.5905422446406154,0.03843780000000008,-0.03251155199999998,0.03671780600000003,7728,7
2026-07-05 22:15:00+00:00,-1,5.046462558670284,0.038672700000000004,-0.031848304,0.03608644200000006,7853,8
2026-07-06 10:15:00+00:00,-1,-10.393632416787238,0.06947108999999996,-0.03183018999999998,0.03615166999999997,7901,9
2026-07-06 22:15:00+00:00,-1,3.8945169396590416,0.040868520000000075,-0.03246720999999989,0.03649173999999997,7949,10
2026-07-07 10:15:00+00:00,-1,-1.0560256784359376,0.05242616,-0.03248594999999996,0.037094671999999995,7997,11
2026-07-08 02:15:00+00:00,-1,4.071437968688295,0.05507810000000002,-0.03257863999999999,0.03700985999999995,8061,12
2026-07-08 15:30:00+00:00,-1,-1.4704788191527645,0.046205779999999974,-0.03219007999999999,0.037604307999999975,8114,13
2026-07-09 03:30:00+00:00,-1,-4.159187684244998,0.04736373000000005,-0.03248594999999996,0.03765830000000006,8162,14
2026-07-09 19:15:00+00:00,1,3.672484329842691,-0.033580329999999936,-0.032879924000000074,0.03755147799999994,8225,15
2026-07-10 07:15:00+00:00,1,-0.6560077052732669,-0.03758141000000004,-0.033435916000000086,0.03743919200000007,8273,16
2026-07-12 01:15:00+00:00,-1,-0.6111135907163782,0.040521730000000034,-0.033151769999999914,0.03652134000000007,8441,17
2026-07-12 22:45:00+00:00,-1,8.930866847654569,0.038302129999999934,-0.03259467199999986,0.03632352400000004,8527,18
2026-07-13 10:45:00+00:00,1,-9.455518299208144,-0.09929647000000008,-0.032509703999999924,0.03692099000000001,8575,19
2026-07-13 23:15:00+00:00,-1,-4.390978123305,0.04052174999999991,-0.03245783999999986,0.03747667599999992,8625,20
2026-07-14 12:30:00+00:00,1,7.2818614044683505,-0.06268739000000001,-0.03295129599999991,0.037399421999999974,8640,21
2026-07-15 09:00:00+00:00,-1,-0.3056819121660893,0.040410520000000005,-0.03372990800000002,0.037113106000000035,8640,22
2026-07-16 07:45:00+00:00,-1,-0.27094673179808404,0.057037890000000147,-0.033738066,0.03692099000000001,8640,23
2026-07-16 20:00:00+00:00,-1,8.093984291324544,0.038836340000000025,-0.033153013999999904,0.03751201599999998,8640,24
2026-07-17 08:00:00+00:00,-1,-6.583358010068115,0.29192786000000015,-0.033153013999999904,0.03797337800000001,8640,25
2026-07-17 20:00:00+00:00,1,-0.1042208020225998,-0.14049010000000006,-0.03362820199999994,0.037810158000000045,8640,26
2026-07-18 15:30:00+00:00,1,7.06330532212895,-0.03722132999999994,-0.0342018760000001,0.03754528399999995,8640,27
2026-07-19 03:30:00+00:00,1,-1.33674660917994,-0.05600346999999983,-0.035079599999999905,0.03730530800000014,8640,28
2026-07-19 15:30:00+00:00,-1,-2.959681928309654,0.04932015000000001,-0.03518099800000005,0.03740538999999989,8640,29
2026-07-20 03:45:00+00:00,1,2.84429739198134,-0.039106000000000085,-0.03452568199999993,0.037491438,8640,30
2026-07-20 15:45:00+00:00,1,-0.0995075722382427,-0.1033039699999998,-0.03480815000000001,0.037666452000000086,8640,31
2026-07-21 08:15:00+00:00,1,0.9653761015746116,-0.04554666000000007,-0.03445275200000002,0.037645880000000013,8640,32
2026-07-22 09:00:00+00:00,-1,0.6200588392618566,0.038963700000000046,-0.03480815000000001,0.03755047799999992,8640,33
2026-07-23 03:15:00+00:00,-1,5.252651644753049,0.05637407999999988,-0.03480815000000001,0.03768716800000004,8640,34
2026-07-23 15:15:00+00:00,-1,-2.0318020068605036,0.21661204999999994,-0.03483333000000004,0.038290850000000105,8640,35
2026-07-24 03:45:00+00:00,1,-9.23310384951032,-0.035607060000000024,-0.03501908000000031,0.038556846000000096,8640,36
2026-07-24 15:45:00+00:00,-1,0.04604890674286475,0.3885593300000001,-0.03530661600000009,0.03892858,8640,37
2026-07-25 09:00:00+00:00,1,6.885245901639499,-0.03911788000000005,-0.035417489999999933,0.03938168799999997,8640,38
2026-07-26 11:30:00+00:00,1,23.353880022014756,-0.04574340999999982,-0.03520930999999985,0.038797642,8640,39
2026-07-26 23:30:00+00:00,1,-1.748772422086393,-0.11154082999999981,-0.03544033399999993,0.038471170000000054,8640,40
2026-07-27 13:15:00+00:00,1,-12.998984198645568,-0.042551950000000005,-0.03570184999999986,0.0385652599999999,8640,41
2026-07-28 01:15:00+00:00,-1,-0.020260492040526438,0.18037368999999992,-0.03595533799999981,0.038677716,8640,42
2026-07-28 15:45:00+00:00,1,-0.6198253723677504,-0.047768770000000016,-0.03536111199999983,0.039043488,8640,43
2026-07-29 05:45:00+00:00,1,1.3816194055346562,-0.053370220000000135,-0.035778907999999984,0.03854142400000012,8640,44
