period,status,rows
2026-04,200,2880
2026-05,200,2976
2026-06,200,2880
2026-07,200,2976
2026-08,200,2976
2026-09-01,200,96
2026-09-02,200,96
2026-09-03,200,96
2026-09-04,200,96
2026-09-05,200,96
2026-09-06,200,96
2026-09-07,200,96
2026-09-08,200,96
