policy,N,Total_R_net,EV_net,MaxDD_gross_canonical,MaxDD_net_diagnostic,RH1,RH2_gross_corrected,RH3,RH4,RH5_archived,RH6_archived_netDD,RH6_p_dd_bad_archived_netDD,formal_verdict_archived,RH6_p_total_good_grossDD_est,RH6_p_dd_bad_grossDD_est,RH6_grossDD_est,corrected_provisional_verdict
P0,3535,1848.8748114422258,0.5230197486399507,14.415969159999975,15.827252954613414,False,True,True,BASELINE,,,,BASELINE,,,,BASELINE
P1,3535,1996.7867095057215,0.5648618697328773,14.415969159999975,15.827252954613414,True,True,True,RETRAIN_REQUIRED,True,False,0.1684,FAIL,1.0,0.1086,False,FAIL
P2,3535,1829.5235140378418,0.5175455485255563,14.790003439999992,16.201287243884053,False,True,True,RETRAIN_REQUIRED,False,False,0.1912,FAIL,0.1634,0.1624,False,FAIL
P3,3535,1988.1020445254471,0.5624051045333656,14.790003439999964,16.201287243884053,True,True,True,RETRAIN_REQUIRED,True,False,0.198,FAIL,0.9994,0.1712,False,FAIL
P4,3535,2134.3563657315744,0.6037783212819164,14.415969159999975,15.827252954613357,True,True,True,True,True,False,0.0836,FAIL,1.0,0.0862,False,FAIL
P5,3535,1984.152227759484,0.561287758913574,13.571548069999835,15.81187101215437,True,True,True,True,N/A,True,0.032,FAIL,0.9996,0.025,True,PROVISIONAL_PASS_PENDING_EXACT_RH6
P6,3535,1500.273875706486,0.4244056225478037,12.74602288999995,14.085411983651738,False,True,True,True,N/A,False,0.0986,FAIL,0.0,0.0626,False,FAIL
P7,3535,1643.9741049559152,0.465056323891348,13.853144669999892,15.960635915129956,False,True,True,True,N/A,False,0.0192,FAIL,0.0,0.0094,False,FAIL
