artifact,bytes,sha256,role
FXArena_ExitPolicyTournament_v002_output.zip,4096041,f911e8579c1b1c1c870f686a02e798fea38b0b27dfc6a30d56d44b1493be388f,frozen tournament output archive
FXArena_P4b_Research_v001.zip,303281,782fc4cc67c6d04b0016d273b4c29c8a255218ab24bf0187f43ac0ab0dc4215b,post-tournament P4b research archive
