extra_cost_R_per_changed_P5_exit,affected_trades,Total_R,EV,MaxDD,PF,negative_months,worst_month,delta_vs_P4
0.0,1077,2256.51180406579,0.6383343151529816,13.283628828045494,4.296924200992195,0,4.593299742757191,122.15543833421543
0.005,1077,2251.1268040657897,0.636810977104891,13.288628828045603,4.263380486454676,0,4.513299742757191,116.77043833421521
0.01,1077,2245.7418040657894,0.6352876390568004,13.293628828045485,4.2303564297494844,0,4.433299742757191,111.385438334215
0.02,1077,2234.97180406579,0.6322409629606195,13.303628828045476,4.165819723624535,0,4.273299742757191,100.61543833421547
0.025,1077,2229.5868040657897,0.6307176249125289,13.308628828045585,4.134284191297465,0,4.1932997427571905,95.23043833421525
0.05,1077,2202.6618040657895,0.6231009346720763,13.333628828045676,3.983507122241694,0,3.79329974275719,68.30543833421507
0.075,1077,2175.7368040657893,0.6154842444316235,13.35862882804554,3.8433407414219998,0,3.3932997427571907,41.38043833421489
0.1,1077,2148.81180406579,0.6078675541911711,13.38362882804563,3.712703055974286,0,2.993299742757191,14.455438334215614
0.125,1077,2121.88680406579,0.6002508639507185,13.408628828045494,3.5906543476300943,0,2.593299742757191,-12.469561665784568
0.15,1077,2094.9618040657897,0.5926341737102658,13.52481500371664,3.47637453183696,0,2.1932997427571905,-39.39456166578475
