dimension,bucket,hist_N,hist_EV,hist_PF,hist_SumR,fwd_N,fwd_EV,fwd_PF,fwd_SumR,cross_sample_positive_EV
z_bucket,1.00-1.25,1261,0.029925279586072908,1.1271032311860252,37.73577755803794,137,0.036778220823914326,1.1830212428333176,5.038616252876262,True
z_bucket,1.25-1.50,1060,-0.02216940310027897,0.9233166267272273,-23.499567286295708,98,0.029564415358618458,1.1235662274292757,2.897312705144609,False
z_bucket,1.50-2.00,1498,-0.01063223743595873,0.9612539204103678,-15.927091679066177,127,-0.008204256484137671,0.9720933211793698,-1.0419405734854843,False
z_bucket,2.00-2.50,854,-0.0204221335733396,0.9309893764486392,-17.440502071632018,96,-0.11572378665271428,0.6605726267046039,-11.109483518660571,False
z_bucket,2.50+,729,0.027660571979172006,1.112093067597003,20.164556972816392,92,-0.1514508024839232,0.5802996432814748,-13.933473828520935,False
side,-1,2769,-0.012303358981804588,0.95262806234819,-34.068001020616904,291,-0.02815851858181671,0.8914714259969929,-8.194128907308663,False
side,1,2633,0.013331247441882771,1.0482253960948846,35.101174514477336,259,-0.038435675889333845,0.8735747774202681,-9.954840055337465,False
confirm_speed,15-30m,626,0.01103610516106025,1.0486727187588554,6.9086018308237165,63,0.05363996995606459,1.289795683246439,3.379318107232069,True
confirm_speed,30-45m,248,-0.01802759662803157,0.9250450179736655,-4.47084396375183,22,-0.0023829168276411654,0.9873530929404332,-0.052424170208105636,False
confirm_speed,5-15m,1369,-0.015640747106437078,0.9420021763873604,-21.41218278871236,131,-0.11928329336471082,0.6795053559380457,-15.626111430777117,False
confirm_speed,<=5m,3159,0.006333522765274106,1.0228334631285032,20.0075984155009,334,-0.017514225954769355,0.9347711912833071,-5.849751468892965,False
adverse_bucket,0.15-0.30,836,-0.05535300823573151,0.8120975258462299,-46.275114885071545,109,0.04067473504770368,1.1477338748870936,4.433546120199701,False
adverse_bucket,0.30-0.50,934,-0.024926032668133334,0.9019161377223207,-23.280914512036535,93,0.07497655857174412,1.3492838754071361,6.972819947172203,False
adverse_bucket,0.50-0.75,792,0.033271705035396795,1.1352472371969342,26.35119038803426,77,-0.12747611460721064,0.5674666159401601,-9.81566082475522,False
adverse_bucket,<=0.15,2840,0.01557676496582191,1.0575603422200817,44.238012502934225,271,-0.07284012621868192,0.7580210958988315,-19.7396742052628,False
response_bucket,0.75-1.00,486,0.007887730133911605,1.0317319054471237,3.83343684508104,61,0.05871099762584854,1.2820407751921956,3.581370855176761,True
response_bucket,1.00-2.00,1114,-0.03818794640575561,0.8617536117026998,-42.54137229601175,103,0.00779172022744813,1.02658806064173,0.8025471834271574,False
response_bucket,2.00+,3359,0.0056597446706062,1.0209116319923055,19.011082348566227,291,-0.0638467400774336,0.7857592220119822,-18.579401362533176,False
response_bucket,<0.75,443,0.0467946424294016,1.189535156814482,20.73002659622491,95,-0.04161563830228275,0.8395394203766082,-3.9534856387168613,False
trend_relation,ALIGNED_COUNTER,1596,-0.001552345609347979,0.9939959414419506,-2.4775435925193747,176,0.007691178599293262,1.0323970283765251,1.3536474334756141,False
trend_relation,ALIGNED_WITH,2149,-0.0008633902807221823,0.9969164451996467,-1.8554257132719698,229,-0.0332969635848775,0.8856567183995533,-7.625004660936947,False
trend_relation,MIXED,1657,0.0032384687988242376,1.0124028124658173,5.366142799651762,145,-0.0819145636909296,0.7405201659540414,-11.877611735184791,False
vol_regime,HIGH_VOL,1250,-0.017195789010412802,0.9335367447312544,-21.494736263016,110,-0.15663981740538754,0.5056512960444818,-17.23037991459263,False
vol_regime,LOW_VOL,2243,0.03435907671668186,1.1273929351796295,77.06740907551742,255,-0.0028550079573685353,0.9890371617393009,-0.7280270291289765,False
vol_regime,MID_VOL,1877,-0.02888739683082487,0.8937320482545833,-54.22164385145828,154,-0.05356803023573427,0.8279337615672926,-8.249476656303077,False
vol_regime,UNKNOWN,32,-0.009932983349459412,0.9622291849158982,-0.3178554671827012,31,0.2599649883025343,2.6002514044016354,8.058914637378562,False
episode_role,FIRST_OR_RESET,551,0.05169543130203733,1.2321477355370507,28.48418264742257,58,0.005405253202437997,1.030862962760486,0.31350468574140383,True
episode_role,REPEAT_WITHIN_3H,4851,-0.005658835117205143,0.9792715892876022,-27.45100915356215,492,-0.03752535294387709,0.871864028359347,-18.46247364838753,False
prior_extreme_gap,30-90m,272,0.04438254803884158,1.1987368302729193,12.072053066564909,31,0.15238021231778304,1.9241870924532527,4.723786581851274,True
prior_extreme_gap,90-180m,179,-0.024881277066598255,0.9078136013117404,-4.4537485949210875,12,0.39100688186508137,5.216282953339309,4.692082582380976,False
prior_extreme_gap,<=30m,4400,-0.007970298551183173,0.9711425840271412,-35.06931362520596,449,-0.06208985036218212,0.7977791619887029,-27.87834281261977,False
prior_extreme_gap,>180m,550,0.04913946380461377,1.220269209193124,27.026705092537576,58,0.005405253202437997,1.030862962760486,0.31350468574140383,True
prior_extreme_gap,nan,1,1.4574775548849894,99.0,1.4574775548849894,0,,,,False
z_persistence_bucket,0.50-0.75,217,0.11003133518992682,1.6067511943608506,23.87679973621412,20,-0.08869309269902219,0.7083082874362873,-1.7738618539804438,False
z_persistence_bucket,0.75-1.00,3771,0.007888618426448534,1.028622884706107,29.74798008613742,419,-0.024783090154567766,0.9098932515310079,-10.384114774763894,False
z_persistence_bucket,1.00-1.50,1121,-0.04955334033292809,0.8152395935165442,-55.54929451321239,88,-0.037819193152176724,0.8682523705637122,-3.3280889973915517,False
z_persistence_bucket,1.50+,172,0.08223417809746668,1.3880585167773278,14.14427863276427,17,-0.26605389063070356,0.26421020414612295,-4.522916140721961,False
z_persistence_bucket,<0.50,121,-0.09245116072762795,0.6420578348304788,-11.186590448042981,6,0.3100021340352884,2.2308132360384154,1.8600128042117305,False
