bucket,N,WR,EV,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses
<=5m,334,0.718562874251497,-0.017514225954769355,0.9347711912833071,-5.849751468892965,25.3683515551056,-0.23059249459650646,5
5-15m,131,0.6259541984732825,-0.11928329336471082,0.6795053559380457,-15.626111430777117,17.597260211119366,-0.8879854729262503,5
15-30m,63,0.8095238095238095,0.05363996995606459,1.289795683246439,3.379318107232069,3.8098236549844646,0.8870011877874827,2
30-45m,22,0.8181818181818182,-0.0023829168276411654,0.9873530929404332,-0.052424170208105636,3.5296848771425617,-0.014852365588665624,2
