market,year,n,mean
AUDUSD,2025,28,0.00945378314953745
AUDUSD,2026,29,-0.0945268272574921
GBPUSD,2025,49,0.047586974689878825
GBPUSD,2026,23,0.04567476883953157
USDCAD,2024,9,-0.6830398666337328
USDCAD,2025,40,-0.18953885989478753
USDCAD,2026,23,0.1805464011019509
USDJPY,2024,10,0.25141126457594665
USDJPY,2025,29,0.3002872035145944
USDJPY,2026,17,-0.06813955530422279
