market,exp_n,exp_bull_n,exp_bull_cov,comp_n,comp_bear_n,comp_bear_cov,comp_conflict
AUDUSD,229,61,0.2663755458515284,606,10,0.0165016501650165,0.0
GBPUSD,285,77,0.27017543859649124,603,14,0.02321724709784411,0.0
USDCAD,254,76,0.2992125984251969,614,7,0.011400651465798045,0.0
USDJPY,237,59,0.2489451476793249,679,3,0.004418262150220913,0.0
