signal_time,side,response_router,state,entry_time,entry_price,risk_dist,level,horizon,traded,exit_time,exit_price,exit_reason,persistent_exit,net_r_5bps,net_r_10bps,fp_state,fp_time,parent_exit_reason,parent_exit_time,traded_bool
2026-08-14 06:45:00,-1,HIGH_RESPONSE,ACCEPT,2026-08-14 06:45:00,62944.6,246.58928571428856,63145.5,2026-08-14 18:45:00+00:00,True,2026-08-14 13:00:00,62574.71607142856,TP,False,1.3723695560866196,1.2447391121732312,ADVERSE_FIRST,2026-08-14 07:15:00+00:00,TP,2026-08-14 13:00:00+00:00,True
2026-08-16 16:15:00,-1,HIGH_RESPONSE,ACCEPT,2026-08-16 21:30:00,62906.9,81.14285714285741,62928.5,2026-08-17 04:15:00+00:00,True,2026-08-16 22:00:00,62785.18571428572,TP,False,1.11236945422531,0.7247389084506635,ADVERSE_FIRST,2026-08-16 21:45:00+00:00,TP,2026-08-16 22:00:00+00:00,True
2026-09-01 08:30:00,-1,HIGH_RESPONSE,ACCEPT,2026-09-01 09:00:00,77789.1,523.6428571428484,77836.4,2026-09-01 20:30:00+00:00,True,2026-09-01 11:00:00,77949.8,PERSISTENT_FAILURE_EXIT,True,-0.381165420815715,-0.4554422861819691,ADVERSE_FIRST,2026-09-01 10:30:00+00:00,SL,2026-09-01 14:00:00+00:00,True
2026-09-08 05:00:00,-1,HIGH_RESPONSE,ACCEPT,2026-09-08 05:30:00,78596.1,449.0178571428572,78650.0,2026-09-08 17:00:00+00:00,True,2026-09-08 13:30:00,77922.57321428572,TP,False,1.412479984092274,1.3249599681845388,FAVORABLE_FIRST,2026-09-08 06:15:00+00:00,TP,2026-09-08 13:30:00+00:00,True
