time,long_open,short_open,gross_initial_risk_pct,directional_net_initial_risk_pct
2026-08-14 06:45:00,0,1,0.25,-0.25
2026-08-14 13:00:00,0,0,0.0,0.0
2026-08-16 21:30:00,0,1,0.25,-0.25
2026-08-16 22:00:00,0,0,0.0,0.0
2026-09-01 09:00:00,0,1,0.25,-0.25
2026-09-01 11:00:00,0,0,0.0,0.0
2026-09-08 05:30:00,0,1,0.25,-0.25
2026-09-08 13:30:00,0,0,0.0,0.0
