lab,variant,period,N,EV,PF,SumR,MaxDD_R,R_DD,fill_rate_pending
033A,retrace_0.60,historical,1642,0.07454306369074261,1.150989525720721,122.39971058019937,19.82565683656125,6.173803551087265,0.4434242506076154
033A,retrace_0.45,historical,1780,0.07948799963856303,1.1669278555755949,141.48863935664218,27.958172379229843,5.060725623887857,0.5696
033A,retrace_0.40,historical,1818,0.07463568665492792,1.157367421385958,135.68767833865897,31.289839758583874,4.336477252218436,0.6189989785495403
033A,retrace_0.30,historical,1880,0.07343687496578545,1.1546394448686528,138.06132493567665,36.84080285491236,3.7475112982579186,0.7065013152950019
033A,retrace_0.60,2026,176,0.09724566352430898,1.1980013144084698,17.11523678027838,8.343985928106411,2.051206333249716,0.4861878453038674
033A,retrace_0.45,2026,187,0.04960264426866768,1.1004950587941964,9.275694478240856,8.328373087109522,1.1137462720777456,0.5825545171339563
033A,retrace_0.40,2026,190,0.08415479327131713,1.176112692186414,15.989410721550254,8.118114994063372,1.969596480616869,0.6397306397306397
033A,retrace_0.30,2026,198,0.008889885112380078,1.0176497058378844,1.7601972522512552,13.42067496133848,0.13115564286609516,0.7046263345195729
033B,20m,historical,1642,0.07454306369074261,1.150989525720721,122.39971058019937,19.82565683656125,6.173803551087265,0.4434242506076154
033B,30m,historical,1725,0.07453692264482051,1.1521423652196083,128.5761915623154,30.394341999712992,4.230267316315961,0.5164670658682635
033B,20m,2026,176,0.09724566352430898,1.1980013144084698,17.11523678027838,8.343985928106411,2.051206333249716,0.4861878453038674
033B,30m,2026,182,0.0663114669726836,1.1359832265289642,12.068686989028416,9.647886545450818,1.2509151027194714,0.56875
035,PRESERVE,historical,1642,0.07454306369074261,1.150989525720721,122.39971058019937,19.82565683656125,6.173803551087265,0.4434242506076154
035,CANCEL_SIGN_FLIP,historical,1617,0.0844871758261805,1.1726024783537283,136.61576331093386,18.814135954048083,7.261336031832988,0.4415619879847078
035,CANCEL_OPPOSITE_THRESHOLD,historical,1638,0.07487667706189942,1.1516718586268977,122.64799702739126,19.82565683656125,6.186327042704149,0.44246353322528365
035,PRESERVE,2026,176,0.09724566352430898,1.1980013144084698,17.11523678027838,8.343985928106411,2.051206333249716,0.4861878453038674
035,CANCEL_SIGN_FLIP,2026,172,0.13211627080977384,1.2757932715976612,22.7239985792811,8.014074755501825,2.8355111815847005,0.48314606741573035
035,CANCEL_OPPOSITE_THRESHOLD,2026,174,0.11425578800088904,1.2355346920179824,19.880507112154692,8.014074755501825,2.480698985058296,0.481994459833795
