stage,source_n,advanced_n,advance_rate,median_lag
A_to_B,7526,5894,0.7831517406324741,1.0
B_to_C,9350,3072,0.3285561497326203,1.0
CHAIN_COMPLETE,7526,837,0.11121445655062451,
