horizon_h,compat,n,mfe_mean,mfe_median,mae_mean,mae_median,terminal_mean_r,terminal_median_r
10,ALIGNED,1195,1.1738961129479386,0.9140315597812623,-1.1182955824085126,-0.7585199176400006,0.11826034635277856,0.18977946940620286
10,OPPOSED,966,1.1817128603930813,0.8267090290095415,-1.156566808618757,-0.8550584717120743,-0.08406835238787574,-0.15776031480535554
30,ALIGNED,1195,1.9965253752966565,1.5066963143235066,-1.8482800812116318,-1.2778060740848174,0.1801260964433421,0.18139161005270546
30,OPPOSED,966,1.8977939210031718,1.3666043885299137,-1.980933257344572,-1.4808296018490839,-0.15253178400689626,-0.0904546854234934
120,ALIGNED,1195,3.9651912788413837,3.221233622422728,-3.174945375046113,-2.297234202110713,0.41213280096189436,0.3826856487325213
120,OPPOSED,966,3.172397450411166,2.437670680225491,-3.9749291689239796,-3.151090778889615,-0.32105134670135016,-0.1637730759601401
