year,aligned_n,opposed_n,aligned_rate,opposed_rate,delta_recovery,eligible,positive
2023,237,205,0.2489451476793249,0.32682926829268294,-0.07788412061335803,True,False
2024,339,251,0.21238938053097345,0.24701195219123506,-0.034622571660261614,True,False
2025,440,338,0.21136363636363636,0.2781065088757396,-0.06674287251210326,True,False
2026,179,172,0.25139664804469275,0.2441860465116279,0.007210601533064853,True,True
