compat,n,stop_first_n,stop_first_rate,recover_zero_n,recover_zero_unconditional,recover_zero_given_stop,recover_plus1_n,recover_plus1_unconditional,recover_plus1_given_stop,median_hours_stop_to_zero,median_hours_stop_to_plus1
ALIGNED,1195,517,0.4326359832635983,361,0.30209205020920504,0.6982591876208898,269,0.22510460251046024,0.5203094777562862,7.066666666666666,25.4
OPPOSED,966,503,0.520703933747412,364,0.37681159420289856,0.7236580516898609,265,0.2743271221532091,0.5268389662027833,8.925,22.383333333333333
