rule,window,eligible_parents,children,child_found_rate,virtual_fills,virtual_fill_rate,mature_admit,real_fills,fills_per_month,mean_R_per_fill,cum_R,profit_factor,max_dd_R,max_consecutive_losses,episodes,positive_episodes,negative_episodes,worst_episode_R,worst_loeo_remaining_R
BREAK_CONFIRM_12H,2025_H2,34,34,1.0,22,0.6470588235294118,27,17,2.8333333333333335,0.1684967515638816,2.8644447765859873,1.317265695948314,2.8134326641799556,2,7,4,1,-1.7475148654615915,0.5944173517468538
BREAK_CONFIRM_12H,2026_JAN_JUL,32,32,1.0,21,0.65625,21,14,2.0,-0.2617805273027747,-3.664927382238845,0.6488169621519121,7.259293613599136,3,8,2,2,-4.7276851951244225,-5.826972914014146
BREAK_CONFIRM_12H,POOLED_RECENT,66,66,1.0,43,0.6515151515151515,48,31,2.3846153846153846,-0.025822019537188982,-0.8004826056528584,0.9588747039830904,7.259293613599136,3,15,6,3,-4.7276851951244225,-3.0705100304919917
BREAK_CONFIRM_12H,AUG2026_REUSED_AUDIT,0,0,,0,,0,0,0.0,,0.0,,0.0,0,0,0,0,,
COLOR_ONLY_12H,2025_H2,34,34,1.0,25,0.7352941176470589,27,20,3.3333333333333335,0.0880549117340254,1.7610982346805093,1.155154654312172,4.116570955597851,3,7,3,2,-1.8479464691943273,-0.6010595686948639
COLOR_ONLY_12H,2026_JAN_JUL,32,32,1.0,23,0.71875,22,16,2.2857142857142856,-0.472524032535348,-7.560384520565568,0.481840946869776,8.962909740036148,2,8,1,4,-5.125381880609772,-8.99270522015056
COLOR_ONLY_12H,POOLED_RECENT,66,66,1.0,48,0.7272727272727273,49,36,2.769230769230769,-0.16109128571902945,-5.799286285885058,0.7764471515013863,11.319066928894763,3,15,4,6,-5.125381880609772,-8.161444089260431
COLOR_ONLY_12H,AUG2026_REUSED_AUDIT,0,0,,0,,0,0,0.0,,0.0,,0.0,0,0,0,0,,
TWO_BAR_CONFIRM_12H,2025_H2,34,34,1.0,21,0.6176470588235294,25,16,2.6666666666666665,0.09267056207236449,1.4827289931578305,1.1563256929303474,4.284010730132134,2,7,3,2,-1.7475148654615915,-0.9678026398327981
TWO_BAR_CONFIRM_12H,2026_JAN_JUL,32,32,1.0,24,0.75,21,16,2.2857142857142856,0.23194280315434843,3.7110848504695753,1.4472730767795545,5.8212233622905725,3,8,3,2,-2.5323271093540365,-0.925594731208192
TWO_BAR_CONFIRM_12H,POOLED_RECENT,66,66,1.0,45,0.6818181818181818,46,32,2.4615384615384617,0.16230668261335646,5.193813843627406,1.2920825736997774,5.8212233622905725,3,15,6,4,-2.5323271093540365,0.5571342619496384
TWO_BAR_CONFIRM_12H,AUG2026_REUSED_AUDIT,0,0,,0,,0,0,0.0,,0.0,,0.0,0,0,0,0,,
