impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,parent_family,raw_24h,cont_24h,rev_24h,p_cont,p_rev,router_conf,router_side
-1.0,-0.1516880794546142,-0.1275911954953829,0.957294813427307,-0.5846855522664466,-0.5323946271482076,-0.785672521578154,-0.0605766430783592,-0.8968727415326885,0.442288690219001,1903,2021-01-20 19:45:00+00:00,DEV_2021_2024,34193.11,35311.0,33400.0,35197.12,32468.66,H4_7D_PIVOT_SWEEP_RECLAIM,-0.0775194106790556,0.0775194106790556,-0.0775194106790556,0.1321862974266719,0.3254023435307476,0.3254023435307476,REV
1.0,0.102327441022214,-0.6225150510608899,-0.4103187576513735,0.9453969751214022,0.1323369989380829,-0.5319940071972967,-0.0298208190445666,0.8314696123025451,0.5555702330196024,4042,2021-02-12 03:45:00+00:00,DEV_2021_2024,47968.66,48985.8,47338.35,47587.31,47829.22,H4_7D_PIVOT_SWEEP_RECLAIM,0.0050834981006491,0.0050834981006491,-0.0050834981006491,0.1497662613599462,0.3244866617595536,0.3244866617595536,REV
1.0,-0.2204147118779384,-0.0618546568107999,1.2261596576936509,0.537168543490527,-0.0501793119958896,-0.695113523671849,-0.0287683436314326,0.8968727415326884,-0.4422886902190011,4250,2021-02-14 07:45:00+00:00,DEV_2021_2024,47267.2,49404.94,47220.42,48725.18,47267.06,H4_7D_PIVOT_SWEEP_RECLAIM,-0.0299253897061027,-0.0299253897061027,0.0299253897061027,0.150121233639152,0.3168032941093595,0.3168032941093595,REV
1.0,0.6665700988015295,0.1989446570332365,-0.4753025798739089,0.5599908092226514,0.2310816671173085,-0.247253405175316,-0.0632851386938922,0.8968727415326884,-0.4422886902190011,4442,2021-02-16 07:45:00+00:00,DEV_2021_2024,49624.02,49998.0,48550.0,49163.46,51112.39,H4_7D_PIVOT_SWEEP_RECLAIM,0.039678001698475,0.039678001698475,-0.039678001698475,0.1484178964319936,0.3419328459211035,0.3419328459211035,REV
-1.0,0.2482446357225801,0.01834527410243,-0.2887311194921702,-1.3107566759106226,-0.3459419919039785,0.3030388707894415,0.0117696695293703,0.8968727415326884,-0.4422886902190011,5594,2021-02-28 07:45:00+00:00,DEV_2021_2024,44632.7,45600.0,43738.65,44400.83,46288.18,H4_7D_PIVOT_SWEEP_RECLAIM,0.0425070882683948,-0.0425070882683948,0.0425070882683948,0.1831005441395043,0.4376914264670378,0.4376914264670378,REV
-1.0,2.4693757329903674,1.4524471229071514,1.0322147169556284,-1.391714765701791,0.746205019195411,1.4934432000532585,0.0101147270999835,-0.8968727415326885,0.442288690219001,5642,2021-02-28 19:45:00+00:00,DEV_2021_2024,43391.14,44521.66,43000.0,44405.32,48262.83,H4_7D_PIVOT_SWEEP_RECLAIM,0.086930172096945,-0.086930172096945,0.086930172096945,0.2182393752987512,0.3255674189841013,0.3255674189841013,REV
1.0,-0.391127782573674,-0.5441512817134173,-0.3393646085309426,1.1906533991709285,0.1801317801970805,0.0457555833351247,-0.0294925756588839,0.8968727415326884,-0.4422886902190011,6452,2021-03-09 07:45:00+00:00,DEV_2021_2024,53840.63,54448.0,53409.57,53546.9,54173.38,H4_7D_PIVOT_SWEEP_RECLAIM,0.0116998391503222,0.0116998391503222,-0.0116998391503222,0.1441539298824958,0.3221194084086901,0.3221194084086901,REV
1.0,-0.0656782961579648,-0.8226992554762682,-1.3131045984063072,-0.3348569657186241,0.6194959167411146,0.0847402426386211,-0.007362435850473,0.8314696123025451,0.5555702330196024,6532,2021-03-10 03:45:00+00:00,DEV_2021_2024,54874.67,55813.09,53134.8,53467.8,55992.6,H4_7D_PIVOT_SWEEP_RECLAIM,0.047210563711266,0.047210563711266,-0.047210563711266,0.1879644624297874,0.3481352848561148,0.3481352848561148,REV
-1.0,0.7778097830438444,1.5328664926415445,-0.4679436952007446,-1.2882836213025746,0.3152304433479814,0.0876267806668207,-0.0104775282601503,0.8968727415326884,-0.4422886902190011,7796,2021-03-23 07:45:00+00:00,DEV_2021_2024,54683.6,54780.02,53000.0,54161.34,55464.2,H4_7D_PIVOT_SWEEP_RECLAIM,0.0239647957062458,-0.0239647957062458,0.0239647957062458,0.232286474047101,0.406214499327816,0.406214499327816,REV
-1.0,0.4860965224105407,-0.2474766706952082,-0.1666391355545751,-0.9076669802430894,-0.7134244402652277,-0.3027685169340879,-0.0274521201213629,0.8314696123025451,0.5555702330196024,7972,2021-03-25 03:45:00+00:00,DEV_2021_2024,52303.66,52900.0,51500.0,52122.86,52407.19,H4_7D_PIVOT_SWEEP_RECLAIM,0.0052881644901519,-0.0052881644901519,0.0052881644901519,0.1533294432245568,0.4323304786315072,0.4323304786315072,REV
-1.0,1.1672021182171557,0.6963493959549706,-0.3944577564005055,-1.1980697201229469,0.4567473318916012,-0.088853833295508,-0.0782381839728444,-0.8968727415326885,0.442288690219001,9284,2021-04-07 19:45:00+00:00,DEV_2021_2024,56451.46,56850.0,55473.0,56153.83,57734.94,H4_7D_PIVOT_SWEEP_RECLAIM,0.0281565784281183,-0.0281565784281183,0.0281565784281183,0.1736719109603664,0.3288254361784641,0.3288254361784641,REV
-1.0,0.4789587067816881,1.074616048126869,-0.3467605064621191,-1.02356555462549,-0.0687510680914486,0.1683774845628182,0.0234641851254896,-0.0654031292301428,0.9978589232386036,11000,2021-04-25 23:45:00+00:00,DEV_2021_2024,49333.01,49593.18,46930.0,49066.77,54001.39,H4_7D_PIVOT_SWEEP_RECLAIM,0.1005697135902186,-0.1005697135902186,0.1005697135902186,0.2146105779988126,0.380958982313418,0.380958982313418,REV
1.0,0.7978444865789496,0.3557107974534735,-0.1956942730713751,2.2938787908457403,-1.1709218502976386,-0.5054351969858124,0.0210507084739365,-0.8968727415326885,0.442288690219001,11464,2021-04-30 19:45:00+00:00,DEV_2021_2024,57180.05,57385.0,56277.39,57007.38,57770.31,H4_7D_PIVOT_SWEEP_RECLAIM,0.0133830040952591,0.0133830040952591,-0.0133830040952591,0.1022329834135287,0.3230393485020826,0.3230393485020826,REV
1.0,-0.5461175681432905,0.433037034078628,-0.1437115582408345,0.7821103555834934,-0.5598059381419042,-0.4708569813728652,-0.0164272349345235,0.0654031292301431,-0.9978589232386036,11720,2021-05-03 11:45:00+00:00,DEV_2021_2024,58787.88,58981.44,58277.12,58657.63,56143.42,H4_7D_PIVOT_SWEEP_RECLAIM,-0.0428626177255,-0.0428626177255,0.0428626177255,0.1307084113954935,0.3424134827450351,0.3424134827450351,REV
