market,state,year,n,mean
AUDUSD,COMPRESSION,2026,16,0.4375
AUDUSD,RETRACEMENT,2026,30,0.7656072525238709
BTCUSDT,COMPRESSION,2025,46,0.391304347826087
BTCUSDT,COMPRESSION,2026,33,0.36363636363636365
BTCUSDT,RETRACEMENT,2025,41,0.4672972372793336
BTCUSDT,RETRACEMENT,2026,4,-2.694625396616026
EURUSD,COMPRESSION,2025,69,0.5362318840579711
EURUSD,COMPRESSION,2026,21,0.23809523809523808
EURUSD,RETRACEMENT,2025,29,0.1575706103332097
EURUSD,RETRACEMENT,2026,3,-0.519093260088186
GBPUSD,RETRACEMENT,2025,17,-1.5234133163554127
USDCAD,COMPRESSION,2026,12,0.4166666666666667
USDCAD,RETRACEMENT,2025,75,-0.13553279763682038
USDCAD,RETRACEMENT,2026,29,-0.4150259596163787
USDJPY,COMPRESSION,2025,4,0.75
USDJPY,COMPRESSION,2026,23,0.391304347826087
USDJPY,RETRACEMENT,2025,2,-1.525859084509764
USDJPY,RETRACEMENT,2026,5,-0.39442749079219386
XAUUSD,COMPRESSION,2025,30,0.6333333333333333
XAUUSD,COMPRESSION,2026,68,0.6029411764705882
XAUUSD,EXPANSION,2026,3,0.7588130077120732
XAUUSD,RETRACEMENT,2025,76,0.025138144455251542
XAUUSD,RETRACEMENT,2026,6,-0.5693057599230741
