market,state,adaptive_n,adaptive_mean,baseline_n,baseline_mean,state_bars,adaptive_cov,conflict_rate
AUDUSD,COMPRESSION,16,0.4375,149,0.5906040268456376,381,0.047244094488188976,0.0
BTCUSDT,COMPRESSION,79,0.379746835443038,249,0.5020080321285141,596,0.15268456375838926,0.0
EURUSD,COMPRESSION,90,0.4666666666666667,210,0.5142857142857142,484,0.21487603305785125,0.0
GBPUSD,COMPRESSION,0,,180,0.4777777777777778,388,0.0,0.0
USDCAD,COMPRESSION,12,0.4166666666666667,176,0.5511363636363636,390,0.04358974358974359,0.0
USDJPY,COMPRESSION,27,0.4444444444444444,178,0.5337078651685393,440,0.07045454545454545,0.0
XAUUSD,COMPRESSION,98,0.6122448979591837,164,0.5487804878048781,461,0.3405639913232104,0.0
