bucket,n,mean_p,observed,abs_gap,ece_used
55-60,514,0.5715579213181228,0.45330739299610895,0.11825052832201383,True
60-70,214,0.6272061804283899,0.397196261682243,0.23000991874614696,True
70-100,0,,,,False
