entry_time,D_time,side
2023-01-09 12:00:00,2023-01-09 04:00:00,1
2023-01-12 08:00:00,2023-01-12 00:00:00,1
2023-01-14 04:00:00,2023-01-13 20:00:00,1
2023-01-30 00:00:00,2023-01-29 16:00:00,1
2023-02-16 00:00:00,2023-02-15 16:00:00,1
2023-03-03 12:00:00,2023-03-03 04:00:00,-1
2023-03-10 04:00:00,2023-03-09 20:00:00,-1
2023-03-14 04:00:00,2023-03-13 20:00:00,1
2023-03-18 12:00:00,2023-03-18 04:00:00,1
2023-03-20 04:00:00,2023-03-19 20:00:00,1
2023-03-29 20:00:00,2023-03-29 12:00:00,1
2023-04-11 04:00:00,2023-04-10 20:00:00,1
2023-04-22 08:00:00,2023-04-22 00:00:00,-1
2023-05-06 04:00:00,2023-05-05 20:00:00,1
2023-05-08 16:00:00,2023-05-08 08:00:00,-1
2023-05-12 16:00:00,2023-05-12 08:00:00,-1
2023-05-25 04:00:00,2023-05-24 20:00:00,-1
2023-06-06 04:00:00,2023-06-05 20:00:00,-1
2023-06-10 16:00:00,2023-06-10 08:00:00,-1
2023-06-21 04:00:00,2023-06-20 20:00:00,1
2023-07-14 08:00:00,2023-07-14 00:00:00,1
2023-07-25 00:00:00,2023-07-24 16:00:00,-1
2023-08-17 12:00:00,2023-08-17 04:00:00,-1
2023-08-18 04:00:00,2023-08-17 20:00:00,-1
2023-09-12 04:00:00,2023-09-11 20:00:00,-1
2023-09-29 04:00:00,2023-09-28 20:00:00,1
2023-10-02 12:00:00,2023-10-02 04:00:00,1
2023-10-16 20:00:00,2023-10-16 12:00:00,1
2023-10-20 16:00:00,2023-10-20 08:00:00,1
2023-10-24 04:00:00,2023-10-23 20:00:00,1
2023-11-09 16:00:00,2023-11-09 08:00:00,1
2023-11-16 08:00:00,2023-11-16 00:00:00,1
2023-11-20 08:00:00,2023-11-20 00:00:00,1
2023-11-29 04:00:00,2023-11-28 20:00:00,1
2023-12-03 08:00:00,2023-12-03 00:00:00,1
2023-12-04 12:00:00,2023-12-04 04:00:00,1
2023-12-19 12:00:00,2023-12-19 04:00:00,1
2023-12-21 00:00:00,2023-12-20 16:00:00,1
2024-01-02 08:00:00,2024-01-02 00:00:00,1
2024-01-09 00:00:00,2024-01-08 16:00:00,1
2024-01-13 04:00:00,2024-01-12 20:00:00,-1
2024-01-30 04:00:00,2024-01-29 20:00:00,1
2024-02-09 16:00:00,2024-02-09 08:00:00,1
2024-02-14 20:00:00,2024-02-14 12:00:00,1
2024-02-27 08:00:00,2024-02-27 00:00:00,1
2024-02-28 20:00:00,2024-02-28 12:00:00,1
2024-03-11 20:00:00,2024-03-11 12:00:00,1
