bin,n,score_min,score_max,score_mean,mean_outcome,median_outcome,p_positive,pf,mean_raw_R
1,28745,-0.55,-0.075,-0.19243868498869368,-0.022677845150633872,-0.8414748698791072,0.30346147156027137,0.9637602112081791,-0.11277964864844814
2,28917,-0.05,0.075,0.026450703738285435,-0.024370277962069288,-0.8467327735001279,0.30342013348549296,0.9614263483071716,-0.10775853648857547
3,27714,0.1,0.175,0.13935105001082485,-0.026237879793955945,-0.8463008741289328,0.3060547015948618,0.9581792412751782,-0.10587576742218659
4,27896,0.2,0.25,0.2223670060223688,-0.044668605771195725,-0.8414748698791072,0.29878835675365645,0.9296791177793554,-0.12521830909590123
5,26998,0.275,0.325,0.2991777168679161,-0.02177158736563302,-0.8392974517593728,0.30913400992666124,0.9652903279767445,-0.09960866992422707
6,26685,0.35,0.4,0.3737596027730935,-0.03432878683400454,-0.8262305490382692,0.3059396664792955,0.9454974307571096,-0.11093412483738398
7,28396,0.425,0.475,0.4523568460346527,-0.033977965702981394,-0.8259863504976732,0.30095788139174534,0.94642046142618,-0.1139632440404258
8,24110,0.5,0.55,0.5307382828701783,-0.025900333581900168,-0.8307643213341096,0.30464537536291997,0.9589850502882539,-0.10225321765134102
9,24919,0.575,0.625,0.6030779726313255,-0.02064878788890929,-0.835656540004448,0.31056623460010435,0.9673360024990845,-0.09127236169908792
10,21917,0.65,0.85,0.6897134644340011,0.0060841327288269,-0.8262305490382692,0.323310672081033,1.0098517471213129,-0.06317257089310317
